Paper_ID,Condition_ID,Row_Role,Field,Value,Declared_unit,Consistency_Status,Method_or_origin,Temperature_association,Condition_association,Review_note,Requires_manual_review
P001,P001_C03,EXPERIMENTAL_INDEPENDENT,Strain_rate_s-1,0.001,rate_s-1,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C03,Numeric value in canonical declared unit,False
P001,P001_C03,EXPERIMENTAL_INDEPENDENT,Grain_size_um,135.3,size_um,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C03,Numeric value in canonical declared unit,False
P001,P001_C03,EXPERIMENTAL_INDEPENDENT,SFE_mJ_m2,7,mJ_m2,CONSISTENT,weak-beam dark-field STEM partial separation,298,P001_C03,Numeric value retained with method: weak-beam dark-field STEM partial separation,False
P001,P001_C03,EXPERIMENTAL_INDEPENDENT,SFE_method,weak-beam dark-field STEM partial separation,method,METHOD_RECORDED,weak-beam dark-field STEM partial separation,298,P001_C03,Method retained; values from different methods must not be treated as interchangeable,False
P001,P001_C03,EXPERIMENTAL_INDEPENDENT,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C03,Fraction represented on 0–1 scale,False
P001,P001_C03,EXPERIMENTAL_INDEPENDENT,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C03,Fraction represented on 0–1 scale,False
P001,P001_C03,EXPERIMENTAL_INDEPENDENT,YS_MPa,295,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C03,Numeric value in canonical declared unit,False
P001,P001_C03,EXPERIMENTAL_INDEPENDENT,UTS_MPa,774,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C03,Numeric value in canonical declared unit,False
P001,P001_C03,EXPERIMENTAL_INDEPENDENT,Elongation_pct,89,pct,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C03,Numeric value in canonical declared unit,False
P001,P001_C04,EXPERIMENTAL_REPEATED_STAGE,Test_T_K,298,T_K,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C04,Numeric value in canonical declared unit,False
P001,P001_C04,EXPERIMENTAL_REPEATED_STAGE,Strain_rate_s-1,0.001,rate_s-1,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C04,Numeric value in canonical declared unit,False
P001,P001_C04,EXPERIMENTAL_REPEATED_STAGE,Grain_size_um,14.9,size_um,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C04,Numeric value in canonical declared unit,False
P001,P001_C04,EXPERIMENTAL_REPEATED_STAGE,SFE_mJ_m2,7,mJ_m2,CONSISTENT,weak-beam dark-field STEM partial separation,298,P001_C04,Numeric value retained with method: weak-beam dark-field STEM partial separation,False
P001,P001_C04,EXPERIMENTAL_REPEATED_STAGE,SFE_method,weak-beam dark-field STEM partial separation,method,METHOD_RECORDED,weak-beam dark-field STEM partial separation,298,P001_C04,Method retained; values from different methods must not be treated as interchangeable,False
P001,P001_C04,EXPERIMENTAL_REPEATED_STAGE,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C04,Fraction represented on 0–1 scale,False
P001,P001_C04,EXPERIMENTAL_REPEATED_STAGE,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C04,Fraction represented on 0–1 scale,False
P001,P001_C05,EXPERIMENTAL_REPEATED_STAGE,Test_T_K,298,T_K,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C05,Numeric value in canonical declared unit,False
P001,P001_C05,EXPERIMENTAL_REPEATED_STAGE,Strain_rate_s-1,0.001,rate_s-1,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C05,Numeric value in canonical declared unit,False
P001,P001_C05,EXPERIMENTAL_REPEATED_STAGE,Grain_size_um,14.9,size_um,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C05,Numeric value in canonical declared unit,False
P001,P001_C05,EXPERIMENTAL_REPEATED_STAGE,SFE_mJ_m2,7,mJ_m2,CONSISTENT,weak-beam dark-field STEM partial separation,298,P001_C05,Numeric value retained with method: weak-beam dark-field STEM partial separation,False
P001,P001_C05,EXPERIMENTAL_REPEATED_STAGE,SFE_method,weak-beam dark-field STEM partial separation,method,METHOD_RECORDED,weak-beam dark-field STEM partial separation,298,P001_C05,Method retained; values from different methods must not be treated as interchangeable,False
P001,P001_C05,EXPERIMENTAL_REPEATED_STAGE,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C05,Fraction represented on 0–1 scale,False
P001,P001_C05,EXPERIMENTAL_REPEATED_STAGE,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C05,Fraction represented on 0–1 scale,False
P001,P001_C06,EXPERIMENTAL_REPEATED_STAGE,Test_T_K,298,T_K,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C06,Numeric value in canonical declared unit,False
P001,P001_C06,EXPERIMENTAL_REPEATED_STAGE,Strain_rate_s-1,0.001,rate_s-1,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C06,Numeric value in canonical declared unit,False
P001,P001_C06,EXPERIMENTAL_REPEATED_STAGE,Grain_size_um,14.9,size_um,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C06,Numeric value in canonical declared unit,False
P001,P001_C06,EXPERIMENTAL_REPEATED_STAGE,SFE_mJ_m2,7,mJ_m2,CONSISTENT,weak-beam dark-field STEM partial separation,298,P001_C06,Numeric value retained with method: weak-beam dark-field STEM partial separation,False
P001,P001_C06,EXPERIMENTAL_REPEATED_STAGE,SFE_method,weak-beam dark-field STEM partial separation,method,METHOD_RECORDED,weak-beam dark-field STEM partial separation,298,P001_C06,Method retained; values from different methods must not be treated as interchangeable,False
P001,P001_C06,EXPERIMENTAL_REPEATED_STAGE,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C06,Fraction represented on 0–1 scale,False
P001,P001_C06,EXPERIMENTAL_REPEATED_STAGE,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C06,Fraction represented on 0–1 scale,False
P001,P001_C07,EXPERIMENTAL_REPEATED_STAGE,Test_T_K,298,T_K,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C07,Numeric value in canonical declared unit,False
P001,P001_C07,EXPERIMENTAL_REPEATED_STAGE,Strain_rate_s-1,0.001,rate_s-1,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C07,Numeric value in canonical declared unit,False
P001,P001_C07,EXPERIMENTAL_REPEATED_STAGE,Grain_size_um,14.9,size_um,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C07,Numeric value in canonical declared unit,False
P001,P001_C07,EXPERIMENTAL_REPEATED_STAGE,SFE_mJ_m2,7,mJ_m2,CONSISTENT,weak-beam dark-field STEM partial separation,298,P001_C07,Numeric value retained with method: weak-beam dark-field STEM partial separation,False
P001,P001_C07,EXPERIMENTAL_REPEATED_STAGE,SFE_method,weak-beam dark-field STEM partial separation,method,METHOD_RECORDED,weak-beam dark-field STEM partial separation,298,P001_C07,Method retained; values from different methods must not be treated as interchangeable,False
P001,P001_C07,EXPERIMENTAL_REPEATED_STAGE,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C07,Fraction represented on 0–1 scale,False
P001,P001_C07,EXPERIMENTAL_REPEATED_STAGE,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C07,Fraction represented on 0–1 scale,False
P001,P001_C08,EXPERIMENTAL_REPEATED_STAGE,Test_T_K,298,T_K,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C08,Numeric value in canonical declared unit,False
P001,P001_C08,EXPERIMENTAL_REPEATED_STAGE,Strain_rate_s-1,0.001,rate_s-1,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C08,Numeric value in canonical declared unit,False
P001,P001_C08,EXPERIMENTAL_REPEATED_STAGE,Grain_size_um,14.9,size_um,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C08,Numeric value in canonical declared unit,False
P001,P001_C08,EXPERIMENTAL_REPEATED_STAGE,SFE_mJ_m2,7,mJ_m2,CONSISTENT,weak-beam dark-field STEM partial separation,298,P001_C08,Numeric value retained with method: weak-beam dark-field STEM partial separation,False
P001,P001_C08,EXPERIMENTAL_REPEATED_STAGE,SFE_method,weak-beam dark-field STEM partial separation,method,METHOD_RECORDED,weak-beam dark-field STEM partial separation,298,P001_C08,Method retained; values from different methods must not be treated as interchangeable,False
P001,P001_C08,EXPERIMENTAL_REPEATED_STAGE,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C08,Fraction represented on 0–1 scale,False
P001,P001_C08,EXPERIMENTAL_REPEATED_STAGE,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_REPEATED_STAGE,298,P001_C08,Fraction represented on 0–1 scale,False
P002,P002_C01,EXPERIMENTAL_INDEPENDENT,Test_T_K,298,T_K,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C01,Numeric value in canonical declared unit,False
P002,P002_C01,EXPERIMENTAL_INDEPENDENT,Strain_rate_s-1,0.001,rate_s-1,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C01,Numeric value in canonical declared unit,False
P002,P002_C01,EXPERIMENTAL_INDEPENDENT,Grain_size_um,4.7,size_um,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C01,Numeric value in canonical declared unit,False
P002,P002_C01,EXPERIMENTAL_INDEPENDENT,SFE_mJ_m2,14,mJ_m2,CONSISTENT,estimated/calculated in paper,298,P002_C01,Numeric value retained with method: estimated/calculated in paper,False
P002,P002_C01,EXPERIMENTAL_INDEPENDENT,SFE_method,estimated/calculated in paper,method,METHOD_RECORDED,estimated/calculated in paper,298,P002_C01,Method retained; values from different methods must not be treated as interchangeable,False
P002,P002_C01,EXPERIMENTAL_INDEPENDENT,DeltaG_FCC_HCP_J_mol,-292,FCC_HCP_J_mol,CONSISTENT,Thermo-Calc TCFE7,298,P002_C01,Numeric value retained with method: Thermo-Calc TCFE7,False
P002,P002_C01,EXPERIMENTAL_INDEPENDENT,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C01,Fraction represented on 0–1 scale,False
P002,P002_C01,EXPERIMENTAL_INDEPENDENT,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C01,Fraction represented on 0–1 scale,False
P002,P002_C01,EXPERIMENTAL_INDEPENDENT,YS_MPa,375,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C01,Numeric value in canonical declared unit,False
P002,P002_C01,EXPERIMENTAL_INDEPENDENT,UTS_MPa,785,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C01,Numeric value in canonical declared unit,False
P002,P002_C01,EXPERIMENTAL_INDEPENDENT,Elongation_pct,77.5,pct,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C01,Numeric value in canonical declared unit,False
P002,P002_C02,EXPERIMENTAL_INDEPENDENT,Test_T_K,298,T_K,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C02,Numeric value in canonical declared unit,False
P002,P002_C02,EXPERIMENTAL_INDEPENDENT,Strain_rate_s-1,0.001,rate_s-1,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C02,Numeric value in canonical declared unit,False
P002,P002_C02,EXPERIMENTAL_INDEPENDENT,SFE_mJ_m2,14,mJ_m2,CONSISTENT,estimated/calculated in paper,298,P002_C02,Numeric value retained with method: estimated/calculated in paper,False
P002,P002_C02,EXPERIMENTAL_INDEPENDENT,SFE_method,estimated/calculated in paper,method,METHOD_RECORDED,estimated/calculated in paper,298,P002_C02,Method retained; values from different methods must not be treated as interchangeable,False
P002,P002_C02,EXPERIMENTAL_INDEPENDENT,DeltaG_FCC_HCP_J_mol,-292,FCC_HCP_J_mol,CONSISTENT,Thermo-Calc TCFE7,298,P002_C02,Numeric value retained with method: Thermo-Calc TCFE7,False
P002,P002_C02,EXPERIMENTAL_INDEPENDENT,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C02,Fraction represented on 0–1 scale,False
P002,P002_C02,EXPERIMENTAL_INDEPENDENT,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C02,Fraction represented on 0–1 scale,False
P002,P002_C02,EXPERIMENTAL_INDEPENDENT,YS_MPa,589,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C02,Numeric value in canonical declared unit,False
P002,P002_C02,EXPERIMENTAL_INDEPENDENT,UTS_MPa,865,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C02,Numeric value in canonical declared unit,False
P002,P002_C02,EXPERIMENTAL_INDEPENDENT,Elongation_pct,69.1,pct,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C02,Numeric value in canonical declared unit,False
P002,P002_C03,EXPERIMENTAL_INDEPENDENT,Test_T_K,298,T_K,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C03,Numeric value in canonical declared unit,False
P002,P002_C03,EXPERIMENTAL_INDEPENDENT,Strain_rate_s-1,0.001,rate_s-1,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C03,Numeric value in canonical declared unit,False
P002,P002_C03,EXPERIMENTAL_INDEPENDENT,SFE_mJ_m2,14,mJ_m2,CONSISTENT,estimated/calculated in paper,298,P002_C03,Numeric value retained with method: estimated/calculated in paper,False
P002,P002_C03,EXPERIMENTAL_INDEPENDENT,SFE_method,estimated/calculated in paper,method,METHOD_RECORDED,estimated/calculated in paper,298,P002_C03,Method retained; values from different methods must not be treated as interchangeable,False
P002,P002_C03,EXPERIMENTAL_INDEPENDENT,DeltaG_FCC_HCP_J_mol,-292,FCC_HCP_J_mol,CONSISTENT,Thermo-Calc TCFE7,298,P002_C03,Numeric value retained with method: Thermo-Calc TCFE7,False
P002,P002_C03,EXPERIMENTAL_INDEPENDENT,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C03,Fraction represented on 0–1 scale,False
P002,P002_C03,EXPERIMENTAL_INDEPENDENT,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C03,Fraction represented on 0–1 scale,False
P002,P002_C03,EXPERIMENTAL_INDEPENDENT,YS_MPa,1060,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P002_C03,Numeric value in canonical declared unit,False
P002,P002_C04,EXPERIMENTAL_SUMMARY,Test_T_K,298,T_K,CONSISTENT,EXPERIMENTAL_SUMMARY,298,P002_C04,Numeric value in canonical declared unit,False
P002,P002_C04,EXPERIMENTAL_SUMMARY,Grain_size_um,4.5,size_um,CONSISTENT,EXPERIMENTAL_SUMMARY,298,P002_C04,Numeric value in canonical declared unit,False
P002,P002_C04,EXPERIMENTAL_SUMMARY,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_SUMMARY,298,P002_C04,Fraction represented on 0–1 scale,False
P002,P002_C04,EXPERIMENTAL_SUMMARY,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_SUMMARY,298,P002_C04,Fraction represented on 0–1 scale,False
P002,P002_C05,EXPERIMENTAL_SUMMARY,SFE_mJ_m2,14,mJ_m2,CONSISTENT,estimated/calculated in paper,,P002_C05,Numeric value retained with method: estimated/calculated in paper,False
P002,P002_C05,EXPERIMENTAL_SUMMARY,SFE_method,estimated/calculated in paper,method,METHOD_RECORDED,estimated/calculated in paper,,P002_C05,Method retained; values from different methods must not be treated as interchangeable,False
P002,P002_C05,EXPERIMENTAL_SUMMARY,DeltaG_FCC_HCP_J_mol,-292,FCC_HCP_J_mol,CONSISTENT,Thermo-Calc TCFE7,,P002_C05,Numeric value retained with method: Thermo-Calc TCFE7,False
P002,P002_C05,EXPERIMENTAL_SUMMARY,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_SUMMARY,,P002_C05,Fraction represented on 0–1 scale,False
P002,P002_C05,EXPERIMENTAL_SUMMARY,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_SUMMARY,,P002_C05,Fraction represented on 0–1 scale,False
P003,P003_C01,EXPERIMENTAL_INDEPENDENT,Test_T_K,300,T_K,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C01,Numeric value in canonical declared unit,False
P003,P003_C01,EXPERIMENTAL_INDEPENDENT,Strain_rate_s-1,0.001,rate_s-1,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C01,Numeric value in canonical declared unit,False
P003,P003_C01,EXPERIMENTAL_INDEPENDENT,Grain_size_um,4.5,size_um,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C01,Numeric value in canonical declared unit,False
P003,P003_C01,EXPERIMENTAL_INDEPENDENT,SFE_mJ_m2,6.5,mJ_m2,CONSISTENT,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,300,P003_C01,Numeric value retained with method: reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,False
P003,P003_C01,EXPERIMENTAL_INDEPENDENT,SFE_method,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,method,METHOD_RECORDED,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,300,P003_C01,Method retained; values from different methods must not be treated as interchangeable,False
P003,P003_C01,EXPERIMENTAL_INDEPENDENT,Initial_FCC_fraction,0.63,FCC_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C01,Fraction represented on 0–1 scale,False
P003,P003_C01,EXPERIMENTAL_INDEPENDENT,Initial_HCP_fraction,0.37,HCP_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C01,Fraction represented on 0–1 scale,False
P003,P003_C01,EXPERIMENTAL_INDEPENDENT,YS_MPa,280,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C01,Numeric value in canonical declared unit,False
P003,P003_C01,EXPERIMENTAL_INDEPENDENT,UTS_MPa,720,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C01,Numeric value in canonical declared unit,False
P003,P003_C02,EXPERIMENTAL_INDEPENDENT,Test_T_K,300,T_K,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C02,Numeric value in canonical declared unit,False
P003,P003_C02,EXPERIMENTAL_INDEPENDENT,Strain_rate_s-1,0.01,rate_s-1,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C02,Numeric value in canonical declared unit,False
P003,P003_C02,EXPERIMENTAL_INDEPENDENT,Grain_size_um,4.5,size_um,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C02,Numeric value in canonical declared unit,False
P003,P003_C02,EXPERIMENTAL_INDEPENDENT,SFE_mJ_m2,6.5,mJ_m2,CONSISTENT,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,300,P003_C02,Numeric value retained with method: reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,False
P003,P003_C02,EXPERIMENTAL_INDEPENDENT,SFE_method,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,method,METHOD_RECORDED,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,300,P003_C02,Method retained; values from different methods must not be treated as interchangeable,False
P003,P003_C02,EXPERIMENTAL_INDEPENDENT,Initial_FCC_fraction,0.63,FCC_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C02,Fraction represented on 0–1 scale,False
P003,P003_C02,EXPERIMENTAL_INDEPENDENT,Initial_HCP_fraction,0.37,HCP_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C02,Fraction represented on 0–1 scale,False
P003,P003_C03,EXPERIMENTAL_INDEPENDENT,Test_T_K,300,T_K,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C03,Numeric value in canonical declared unit,False
P003,P003_C03,EXPERIMENTAL_INDEPENDENT,Strain_rate_s-1,0.1,rate_s-1,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C03,Numeric value in canonical declared unit,False
P003,P003_C03,EXPERIMENTAL_INDEPENDENT,Grain_size_um,4.5,size_um,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C03,Numeric value in canonical declared unit,False
P003,P003_C03,EXPERIMENTAL_INDEPENDENT,SFE_mJ_m2,6.5,mJ_m2,CONSISTENT,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,300,P003_C03,Numeric value retained with method: reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,False
P003,P003_C03,EXPERIMENTAL_INDEPENDENT,SFE_method,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,method,METHOD_RECORDED,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,300,P003_C03,Method retained; values from different methods must not be treated as interchangeable,False
P003,P003_C03,EXPERIMENTAL_INDEPENDENT,Initial_FCC_fraction,0.63,FCC_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C03,Fraction represented on 0–1 scale,False
P003,P003_C03,EXPERIMENTAL_INDEPENDENT,Initial_HCP_fraction,0.37,HCP_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C03,Fraction represented on 0–1 scale,False
P003,P003_C04,EXPERIMENTAL_INDEPENDENT,Test_T_K,300,T_K,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C04,Numeric value in canonical declared unit,False
P003,P003_C04,EXPERIMENTAL_INDEPENDENT,Strain_rate_s-1,1,rate_s-1,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C04,Numeric value in canonical declared unit,False
P003,P003_C04,EXPERIMENTAL_INDEPENDENT,Grain_size_um,4.5,size_um,CONSISTENT,EXPERIMENTAL_INDEPENDENT,300,P003_C04,Numeric value in canonical declared unit,False
P003,P003_C04,EXPERIMENTAL_INDEPENDENT,SFE_mJ_m2,6.5,mJ_m2,CONSISTENT,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,300,P003_C04,Numeric value retained with method: reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,False
P003,P003_C04,EXPERIMENTAL_INDEPENDENT,SFE_method,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,method,METHOD_RECORDED,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,300,P003_C04,Method retained; values from different methods must not be treated as interchangeable,False
