Paper_ID,DOI,Material_Parent_ID,ML_Condition_ID,Observation_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Method,Confidence,Recovery_Status
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stage_Role,CORRELATED_STAGE_INTERVAL,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Independent_ML_sample,False,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,TRIP_State,0,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,TWIP_State,0,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Slip_State,0,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Phase_Specific_Mechanism,Both γ-FCC and ε-HCP elastic,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Main_Physics_Event,Elastic response; stable ε-HCP fraction and dislocation density,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Negative_Evidence_Scope,Bulk SXRD shows no observable TRIP/TWIP-related change in this stage,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Evidence_Location,pp.14-15; Fig.10,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Confidence,High,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Notes,Local plasticity below bulk SXRD detectability is acknowledged by authors; stage labels describe observable bulk response.,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stage_ID,P013_STAGE_II,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stress_Start_MPa,250,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stress_End_MPa,530,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stage_Role,CORRELATED_STAGE_INTERVAL,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Independent_ML_sample,False,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,TRIP_State,1,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,TWIP_State,0,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Slip_State,1,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Twinning_Mode,No deformation twinning yet detected,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Phase_Specific_Mechanism,γ-FCC: TRIP + dislocation slip; ε-HCP: dislocation slip,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Main_Physics_Event,TRIP begins at γ-FCC yielding; HCP fraction rises; dislocation densities increase,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Negative_Evidence_Scope,No abrupt peak-intensity splitting indicating TWIP before ~530 MPa,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Evidence_Location,"p.15; Figs.4,5,8,10",as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Confidence,High,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Notes,TWIP=0 is stage-specific and directly tied to the pre-530 MPa interval; do not use it as a separate independent sample.,as named/reported,VERIFIED_WORKBOOK,"p.15; Figs.4,5,8,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stage_ID,P013_STAGE_III,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stress_Start_MPa,530,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stress_End_MPa,655,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stage_Role,CORRELATED_STAGE_INTERVAL,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Independent_ML_sample,False,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,TRIP_State,1,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,TWIP_State,1,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Slip_State,1,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Twinning_Mode,{10-12}<10-10> tensile twinning in ε-HCP,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Phase_Specific_Mechanism,γ-FCC: intensified TRIP + slip; ε-HCP: tensile TWIP + slip,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Main_Physics_Event,Tensile TWIP onset; TRIP and TWIP collaborate; c/a stabilizes,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Evidence_Location,"pp.11,15; Figs.5,7,10",as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Confidence,High,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Notes,TWIP is phase-specific to ε-HCP in the authors' interpretation; γ-FCC twinning is explicitly not identified as a strain-accommodation mechanism.,as named/reported,VERIFIED_WORKBOOK,"pp.11,15; Figs.5,7,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stage_ID,P013_STAGE_IV,as named/reported,VERIFIED_WORKBOOK,"pp.11,16; Figs.6,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stress_Start_MPa,655,as named/reported,VERIFIED_WORKBOOK,"pp.11,16; Figs.6,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stress_End_MPa,950,as named/reported,VERIFIED_WORKBOOK,"pp.11,16; Figs.6,10",source-reported,High,VERIFIED
