Paper_ID,DOI,Material_Parent_ID,Computational_Condition_ID,Mechanism_Record_ID,Record_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Method,Confidence,Recovery_Status,Data_Origin
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Heating_Rate_K_s,21100000000000,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Melt_T_K,2200,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Melt_Hold_s,3e-11,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Quench_Rate_K_s,12000000000,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Quench_End_T_K,300,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Post_Quench_NPT_Time_s,4.5e-11,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Subsequent_Ensembles,NVT and NVE after NPT relaxation to ensure metastable structure,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,MD_Time_Step_s,2e-15,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Tensile_Direction,z,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Max_Tensile_Strain,0.4,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Temperature_Grid_K,300; 700; 1000; 1300,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Strain_Rate_Grid_s-1,1e10; 1e9; 1e8,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,MD_Software,LAMMPS,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Visualization_Software,OVITO,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Structure_Analysis,PTM,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Dislocation_Analysis,DXA,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Evidence_Location,Simulation details pp.2-3; Fig.1,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Confidence,High,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Notes,"The paper is computational. Its 12 tensile cases are MD conditions, not experimental specimens or experimental ML samples.",as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,,,P017_SERIES01,Study_Series_ID,P017_SERIES01,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.2 pp.5-8,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,,,P017_SERIES01,Material_Parent_ID,P017_MAT_AL0p5,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.2 pp.5-8,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,,,P017_SERIES01,Alloy_Label,Al0.5CrCoFeCuNi,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.2 pp.5-8,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,,,P017_SERIES01,Original_Composition_Basis,Molar-ratio formula,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.2 pp.5-8,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,,,P017_SERIES01,Original_Composition_Value,Al0.5Cr1Co1Fe1Cu1Ni1,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.2 pp.5-8,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,,,P017_SERIES01,Al_x,0.5,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.2 pp.5-8,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,,,P017_SERIES01,PostQuench_Initial_Structure,BCC-dominant after melt/quench/solidification,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.2 pp.5-8,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,,,P017_SERIES01,Initial_BCC_fraction_status,DIRECT_PT_M_STRUCTURE_IDENTITY; exact initial BCC fraction not text-reported,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.2 pp.5-8,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,,,P017_SERIES01,Target_Domain,COMPUTATIONAL_NATIVE_MECHANISM_ONLY,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.2 pp.5-8,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,,,P017_SERIES01,Evidence_Location,Abstract; Sec.3.2 pp.5-8,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.2 pp.5-8,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,,,P017_SERIES01,Confidence,High,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.2 pp.5-8,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,,,P017_SERIES01,Notes,Do not normalize the formula to at.% in this recovery task. Starting tensile structure is BCC-dominant even though the atoms were initially assigned on FCC before melting.,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.2 pp.5-8,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,Study_Series_ID,P017_SERIES01,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,Material_Parent_ID,P017_MAT_AL1p5,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,Alloy_Label,Al1.5CrCoFeCuNi,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,Original_Composition_Basis,Molar-ratio formula,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,Original_Composition_Value,Al1.5Cr1Co1Fe1Cu1Ni1,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,Al_x,1.5,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,PostQuench_Initial_Structure,BCC-dominant after melt/quench/solidification,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,Initial_BCC_fraction,>0.95,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,Initial_BCC_fraction_status,DIRECT_TEXT_ABOVE_95_PERCENT_BCC,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,Target_Domain,COMPUTATIONAL_NATIVE_MECHANISM_ONLY,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,Evidence_Location,Abstract; Sec.3.3 p.8; Fig.12,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,Confidence,High,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,,,P017_SERIES01,Notes,Text explicitly states above 95% BCC before deformation. Do not convert this to an exact numeric fraction such as 0.95.,as reported,VERIFIED_WORKBOOK,Abstract; Sec.3.3 p.8; Fig.12,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Study_Series_ID,P017_SERIES01,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Material_Parent_ID,P017_MAT_AL0p5,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Computational_Condition_ID,P017_SIM_A05_300K_SR1E10,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Alloy_Label,Al0.5CrCoFeCuNi,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Temperature_K,300,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Strain_Rate_s-1,10000000000,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Max_Strain,0.4,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Data_Origin,COMPUTATIONAL_MD,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Observation_Role,COMPUTATIONAL_CONDITION,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Independent_Computational_Condition,True,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Independent_Experimental_ML_sample,False,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Leakage_Group_Strict,P017_SERIES01,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Leakage_Group_Material,P017_MAT_AL0p5,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,SIS_PSR_GPa,5,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,UTS_PSR_Status,N/A_NO_UTS_PSR,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Paper_Native_TRIP,1,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Paper_Native_TWIP,1,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,TWIP_induced_TRIP_Status,Not observed,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,TRIP_induced_TWIP_Status,Observed,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,TRIP_induced_TWIP_Timing,After SIS-PSR,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Experimental_Target_Eligibility,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Mechanism_Scope,Authors-native TRIP/TWIP: reversible BCC↔FCC(HCP/SF) transformation and BCC twinning; not equivalent to the project's experimental FCC→HCP/TWIP target semantics.,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Evidence_Location,Table 1 p.22; Table 2 p.23,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Confidence,High,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,,P017_SIM_A05_300K_SR1E10,Notes,"SIS-PSR/UTS-PSR are MD stress-regime metrics, not experimental YS/UTS. Native mechanism labels remain computational-domain metadata.",as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,,P017_SIM_A05_700K_SR1E10,Study_Series_ID,P017_SERIES01,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,,P017_SIM_A05_700K_SR1E10,Material_Parent_ID,P017_MAT_AL0p5,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,,P017_SIM_A05_700K_SR1E10,Computational_Condition_ID,P017_SIM_A05_700K_SR1E10,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,,P017_SIM_A05_700K_SR1E10,Alloy_Label,Al0.5CrCoFeCuNi,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,,P017_SIM_A05_700K_SR1E10,Temperature_K,700,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,,P017_SIM_A05_700K_SR1E10,Strain_Rate_s-1,10000000000,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,,P017_SIM_A05_700K_SR1E10,Max_Strain,0.4,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,,P017_SIM_A05_700K_SR1E10,Data_Origin,COMPUTATIONAL_MD,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,,P017_SIM_A05_700K_SR1E10,Observation_Role,COMPUTATIONAL_CONDITION,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,,P017_SIM_A05_700K_SR1E10,Independent_Computational_Condition,True,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,,P017_SIM_A05_700K_SR1E10,Independent_Experimental_ML_sample,False,as reported,VERIFIED_WORKBOOK,Table 1 p.22; Table 2 p.23,source-reported,High,VERIFIED,COMPUTATIONAL_MD
