Paper_ID,DOI,Material_Parent_ID,Processing_State_ID,ML_Condition_ID,Observation_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Method,Confidence,Recovery_Status
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Initial_Twin_Descriptor,Pre-existing dual-phase morphology; no tensile-twin assignment,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Initial_Twin_Origin,PRE_TEST_STATE,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Initial_Twin_Target_Safety,DO_NOT_USE_AS_TWIP_TARGET,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Processing_Mechanism_Status,No processing-mechanism target assigned,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Evidence_Location,Figs.1-2; pp.3-5,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Confidence,High,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Notes,As-cast state is γ-FCC rich with ~20.5% HCP by EBSD figure label.,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Processing_State_ID,P014_PS_CR,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,State_Label,CR,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,State_Type,COLD_ROLLED,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Initial_Phase_State,Dual FCC+HCP,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Initial_FCC_fraction,0.739,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Initial_HCP_fraction,0.261,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Phase_Fraction_Status,DIRECT_EBSD_FIGURE_LABEL,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Average_Grain_Size_um,0.71,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Grain_Size_sd_um,0.18,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Grain_Size_Status,DIRECT_TEXT,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,KAM_mean_deg,0.8,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,KAM_Status,DIRECT_EBSD_FIGURE_LABEL,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Recrystallized_Status,NOT_REPORTED,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Heterogeneous_Microstructure,False,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Initial_Twin_Descriptor,Deformation twins + HCP laths produced during cold rolling,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Initial_Twin_Origin,PROCESSING_INDUCED_DEFORMATION,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Initial_Twin_Target_Safety,DO_NOT_USE_PROCESSING_TWINS_AS_TENSILE_TWIP_TARGET,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Processing_TRIP,1.0,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Processing_TWIP,1.0,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Processing_Mechanism_Status,DIRECT_TEM_AND_EBSD_PROCESSING_EVIDENCE,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Evidence_Location,Figs.1-3; pp.3-5,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Confidence,High,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_CR,,,Notes,Cold rolling increases HCP to 26.1%; TEM directly identifies processing-induced deformation twins and stress-induced FCC→HCP. These are pre-test features for the CR tensile condition.,as named/reported,VERIFIED_WORKBOOK,Figs.1-3; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Processing_State_ID,P014_PS_A600,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,State_Label,A600,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,State_Type,ANNEALED_HETEROGENEOUS,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Anneal_T_C,600.0,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Initial_Phase_State,Single FCC by XRD/EBSD,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Initial_FCC_fraction,1.0,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Initial_HCP_fraction,0.0,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Phase_Fraction_Status,DIRECT_EBSD_FIGURE_LABEL; text/XRD single FCC,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Average_Grain_Size_um,0.79,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Grain_Size_sd_um,0.3,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Grain_Size_Status,DIRECT_TEXT,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,KAM_mean_deg,0.85,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,KAM_Status,DIRECT_EBSD_FIGURE_LABEL,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Recrystallized_fraction,0.102,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Recrystallized_Status,DIRECT_GOS_TEXT,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Heterogeneous_Microstructure,True,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Initial_Twin_Descriptor,Nano-scale twins / annealing twins in heterogeneous pre-test structure,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Initial_Twin_Origin,ANNEALING_OR_PRE_EXISTING_AFTER_ANNEAL,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Initial_Twin_Target_Safety,DO_NOT_USE_INITIAL_TWINS_AS_TENSILE_TWIP_TARGET,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Processing_Mechanism_Status,Pre-test microstructure only,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Evidence_Location,Figs.1-4; pp.3-6,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Confidence,High,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A600,,,Notes,A600 contains recrystallized fine grains plus residual deformed grains with high dislocation density and pre-existing twin lamellae.,as named/reported,VERIFIED_WORKBOOK,Figs.1-4; pp.3-6,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A650,,,Processing_State_ID,P014_PS_A650,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A650,,,State_Label,A650,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A650,,,State_Type,ANNEALED_HETEROGENEOUS,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A650,,,Anneal_T_C,650.0,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A650,,,Initial_Phase_State,Text/XRD: single FCC; EBSD figure reports trace HCP,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A650,,,Initial_FCC_fraction,0.999,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A650,,,Initial_HCP_fraction,0.001,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A650,,,Phase_Fraction_Status,EBSD_FIGURE_LABEL_TRACE_HCP_0.1_PERCENT_CONFLICTS_WITH_SINGLE_FCC_TEXT_XRD,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A650,,,Average_Grain_Size_um,1.1,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A650,,,Grain_Size_sd_um,0.57,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A650,,,Grain_Size_Status,DIRECT_TEXT,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_A650,,,KAM_mean_deg,0.39,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
