Paper_ID,DOI,ML_Condition_ID,Feature_Name,Original_Value,Recovered_Value,Units,Evidence_Type,Evidence_Location,Page_Figure_Section,Extraction_Method,Confidence,Recovery_Status
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_YS_MPa,,210.0,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_YS_status,,SOURCE_SUPPORTED_TEXT; also 468-258=210 exactly,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_UTS_status,,SUPPLEMENT_TABLE_S1_PENDING,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_Uniform_elongation_status,,SUPPLEMENT_TABLE_S1_PENDING,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Strain_rate_s-1,,0.001,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,SFE_scope,,ALLOY_LEVEL,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,SFE_value_alloy_level_mJ_m2,,6.5,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,SFE_status,,SECONDARY_REFERENCE,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,SFE_source_provenance,,Su et al. 2019 cited by P008; p. 13,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Study_Series_ID,,P008_SERIES01,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Material_Parent_ID,,P008_MAT_N0,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Leakage_Group_Strict,,P008_SERIES01,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Leakage_Group_Material,,P008_MAT_N0,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,P008_Source_State,,PC,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Bulk_Composition_at_pct,,Fe49.6Mn30.0Co10.0Cr10.4,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Composition_Status,,EXACT_BULK_CHEMISTRY_REPORTED,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Processing_route,,"Vacuum induction cast in Ar; hot forged 1200C; hot rolled 1050→900C, 50% thickness reduction; homogenized 1200C/2h and water quenched.",source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Test_T_Reported,,Room temperature,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Test_T_Status,,ROOM_TEMPERATURE_REPORTED,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Grain_size_um,,1.4,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Grain_size_scope,,recrystallized grains / dominant microstructure,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Grain_size_status,,Dominated by equiaxed recrystallized grains; ~10% non-recrystallized matrix,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Initial_HCP_fraction,,0.27,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Initial_HCP_status,,DIRECT_EBSD_AREA_FRACTION,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Initial_BCC_alpha_martensite_status,,NOT_REPORTED,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Recrystallized_fraction,,0.9,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Recrystallized_fraction_status,,DIRECT_TEXT,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_YS_MPa,,468.0,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_YS_status,,DIRECT_TEXT,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_UTS_status,,SUPPLEMENT_TABLE_S1_PENDING,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_Uniform_elongation_status,,SUPPLEMENT_TABLE_S1_PENDING,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_TRIP,,1.0,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Recovered_TWIP,,1.0,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Effective_TRIP,,1.0,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Effective_TWIP,,1.0,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Strain_rate_s-1,,0.001,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Cold_rolling_reduction_pct,,60.0,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Annealing_T_K,,1023.15,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,Annealing_time_min,,3.0,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,SFE_scope,,ALLOY_LEVEL,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,SFE_value_alloy_level_mJ_m2,,6.5,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,SFE_status,,SECONDARY_REFERENCE,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,SFE_source_provenance,,Su et al. 2019 cited by P008; p. 13,source/schema units,VERIFIED_WORKBOOK,"pp. 7,13; Fig. 6a","pp. 7,13; Fig. 6a",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Study_Series_ID,,P008_SERIES01,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Material_Parent_ID,,P008_MAT_N0,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Leakage_Group_Strict,,P008_SERIES01,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Leakage_Group_Material,,P008_MAT_N0,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,P008_Source_State,,FC,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_Bulk_Composition_at_pct,,Fe49.6Mn30.0Co10.0Cr10.4,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_Composition_Status,,EXACT_BULK_CHEMISTRY_REPORTED,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_Processing_route,,"Vacuum induction cast in Ar; hot forged 1200C; hot rolled 1050→900C, 50% thickness reduction; homogenized 1200C/2h and water quenched.",source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_Test_T_Reported,,Room temperature,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_Test_T_Status,,ROOM_TEMPERATURE_REPORTED,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_Grain_size_um,,6.2,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_Grain_size_scope,,overall equiaxed grains,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_Grain_size_status,,Average diameter,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_Initial_HCP_fraction,,0.34,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_Initial_HCP_status,,DIRECT_EBSD_AREA_FRACTION,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Initial_BCC_alpha_martensite_status,,NOT_REPORTED,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_Recrystallized_fraction_status,,FULLY_RECRYSTALLIZED_STATE_BY_PROCESS_DEFINITION,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_YS_status,,SUPPLEMENT_TABLE_S1_PENDING,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_UTS_status,,SUPPLEMENT_TABLE_S1_PENDING,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_Uniform_elongation_status,,SUPPLEMENT_TABLE_S1_PENDING,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Recovered_TRIP,,1.0,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Effective_TRIP,,1.0,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Strain_rate_s-1,,0.001,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Cold_rolling_reduction_pct,,60.0,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Annealing_T_K,,1173.15,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,Annealing_time_min,,3.0,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,SFE_scope,,ALLOY_LEVEL,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,SFE_value_alloy_level_mJ_m2,,6.5,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,SFE_status,,SECONDARY_REFERENCE,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,SFE_source_provenance,,Su et al. 2019 cited by P008; p. 13,source/schema units,VERIFIED_WORKBOOK,p. 13; Figs. 1–2; Supplementary B referenced,p. 13; Figs. 1–2; Supplementary B referenced,Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N2p6_HOMO,Study_Series_ID,,P008_SERIES01,source/schema units,VERIFIED_WORKBOOK,"pp. 3,5,7–8,11; Figs. 1,4,5,10","pp. 3,5,7–8,11; Figs. 1,4,5,10",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N2p6_HOMO,Material_Parent_ID,,P008_MAT_N2p6,source/schema units,VERIFIED_WORKBOOK,"pp. 3,5,7–8,11; Figs. 1,4,5,10","pp. 3,5,7–8,11; Figs. 1,4,5,10",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N2p6_HOMO,Leakage_Group_Strict,,P008_SERIES01,source/schema units,VERIFIED_WORKBOOK,"pp. 3,5,7–8,11; Figs. 1,4,5,10","pp. 3,5,7–8,11; Figs. 1,4,5,10",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N2p6_HOMO,Leakage_Group_Material,,P008_MAT_N2p6,source/schema units,VERIFIED_WORKBOOK,"pp. 3,5,7–8,11; Figs. 1,4,5,10","pp. 3,5,7–8,11; Figs. 1,4,5,10",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N2p6_HOMO,P008_Source_State,,HOMO,source/schema units,VERIFIED_WORKBOOK,"pp. 3,5,7–8,11; Figs. 1,4,5,10","pp. 3,5,7–8,11; Figs. 1,4,5,10",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N2p6_HOMO,Recovered_Bulk_Composition_at_pct,,Fe45.9Mn30.4Co10.5Cr10.6N2.6,source/schema units,VERIFIED_WORKBOOK,"pp. 3,5,7–8,11; Figs. 1,4,5,10","pp. 3,5,7–8,11; Figs. 1,4,5,10",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N2p6_HOMO,Recovered_Composition_Status,,EXACT_BULK_CHEMISTRY_REPORTED,source/schema units,VERIFIED_WORKBOOK,"pp. 3,5,7–8,11; Figs. 1,4,5,10","pp. 3,5,7–8,11; Figs. 1,4,5,10",Verified direct source extraction,High,VERIFIED
