Paper_ID,DOI,Condition_ID,Field,Missingness_Cause,Evidence_for_classification,Where_to_check,Requires_manual_review
P003,10.1016/j.msea.2020.138982,P003_C06,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,Abstract; Methods; Figs. 1-7; Table 1; discussion,True
P003,10.1016/j.msea.2020.138982,P003_C07,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,Abstract; Methods; Figs. 1-7; Table 1; discussion,True
P004,10.1016/j.msea.2026.150025,P004_C01,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C01,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C01,Homogenization_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C01,Homogenization_time_h,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C01,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C01,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C01,Cold_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C01,Annealing_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C01,Annealing_time_min,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C02,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C02,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C02,Homogenization_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C02,Homogenization_time_h,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C02,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C02,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C02,Cold_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C02,Annealing_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C02,Annealing_time_min,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C03,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C03,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C03,Homogenization_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C03,Homogenization_time_h,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C03,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C03,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C03,Cold_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C03,Annealing_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C03,Annealing_time_min,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C04,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C04,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C04,Homogenization_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C04,Homogenization_time_h,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C04,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C04,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C04,Cold_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C04,Annealing_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C04,Annealing_time_min,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C05,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C05,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C05,Homogenization_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C05,Homogenization_time_h,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C05,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C05,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C05,Cold_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C05,Annealing_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C05,Annealing_time_min,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C06,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C06,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C06,Homogenization_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C06,Homogenization_time_h,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C06,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C06,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C06,Cold_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C06,Annealing_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P004,10.1016/j.msea.2026.150025,P004_C06,Annealing_time_min,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C01,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C01,Strain_rate_s-1,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C01,Homogenization_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C01,Homogenization_time_h,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C01,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C02,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C02,Strain_rate_s-1,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C02,Homogenization_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C02,Homogenization_time_h,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C02,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C03,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C03,Strain_rate_s-1,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C03,Homogenization_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C03,Homogenization_time_h,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P005,10.1016/j.actamat.2022.118049,P005_C03,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Yes,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C01,Grain_size_um,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 1-3; abstract/conclusions,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C01,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 1-3; abstract/conclusions,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C01,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 1-3; abstract/conclusions,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C01,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 1-3; abstract/conclusions,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C02,Grain_size_um,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 1-3; abstract/conclusions,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C02,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 1-3; abstract/conclusions,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C02,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 1-3; abstract/conclusions,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C02,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 1-3; abstract/conclusions,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C03,Grain_size_um,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 1-3; abstract/conclusions,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C03,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 1-3; abstract/conclusions,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C03,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 1-3; abstract/conclusions,True
P006,10.1016/j.scriptamat.2019.02.018,P006_C03,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 1-3; abstract/conclusions,True
P007,10.1016/j.actamat.2022.117974,P007_C01,SFE_mJ_m2,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C01,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C01,Initial_HCP_fraction,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C01,Hot_rolling_T_K,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C01,Hot_rolling_reduction_pct,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C02,SFE_mJ_m2,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C02,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C02,Initial_HCP_fraction,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C02,Hot_rolling_T_K,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C02,Hot_rolling_reduction_pct,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C03,SFE_mJ_m2,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C03,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C03,Initial_HCP_fraction,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C03,Hot_rolling_T_K,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C03,Hot_rolling_reduction_pct,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C04,SFE_mJ_m2,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C04,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C04,Initial_HCP_fraction,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C04,Hot_rolling_T_K,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C04,Hot_rolling_reduction_pct,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C05,SFE_mJ_m2,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C05,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C05,Initial_HCP_fraction,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C05,Hot_rolling_T_K,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P007,10.1016/j.actamat.2022.117974,P007_C05,Hot_rolling_reduction_pct,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,"Table 3; Figs. 3,5-10; conclusions",True
P008,10.1016/j.ijplas.2021.102965,P008_C01,Grain_size_um,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract + methods + mechanism comparison,True
P008,10.1016/j.ijplas.2021.102965,P008_C01,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract + methods + mechanism comparison,True
P008,10.1016/j.ijplas.2021.102965,P008_C01,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract + methods + mechanism comparison,True
P008,10.1016/j.ijplas.2021.102965,P008_C01,Initial_FCC_fraction,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract + methods + mechanism comparison,True
P008,10.1016/j.ijplas.2021.102965,P008_C01,Initial_HCP_fraction,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract + methods + mechanism comparison,True
P008,10.1016/j.ijplas.2021.102965,P008_C01,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract + methods + mechanism comparison,True
P008,10.1016/j.ijplas.2021.102965,P008_C01,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract + methods + mechanism comparison,True
P008,10.1016/j.ijplas.2021.102965,P008_C01,Annealing_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract + methods + mechanism comparison,True
P008,10.1016/j.ijplas.2021.102965,P008_C01,Annealing_time_min,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract + methods + mechanism comparison,True
P008,10.1016/j.ijplas.2021.102965,P008_C02,Grain_size_um,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; methods; deformation microstructure section,True
P008,10.1016/j.ijplas.2021.102965,P008_C02,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; methods; deformation microstructure section,True
P008,10.1016/j.ijplas.2021.102965,P008_C02,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; methods; deformation microstructure section,True
P008,10.1016/j.ijplas.2021.102965,P008_C02,Initial_FCC_fraction,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; methods; deformation microstructure section,True
P008,10.1016/j.ijplas.2021.102965,P008_C02,Initial_HCP_fraction,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; methods; deformation microstructure section,True
P008,10.1016/j.ijplas.2021.102965,P008_C02,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; methods; deformation microstructure section,True
P008,10.1016/j.ijplas.2021.102965,P008_C02,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; methods; deformation microstructure section,True
P010,10.1103/PhysRevMaterials.4.033601,P010_C01,Grain_size_um,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; Figs. 1-5; Summary and Conclusions,True
P010,10.1103/PhysRevMaterials.4.033601,P010_C01,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; Figs. 1-5; Summary and Conclusions,True
P010,10.1103/PhysRevMaterials.4.033601,P010_C01,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; Figs. 1-5; Summary and Conclusions,True
P010,10.1103/PhysRevMaterials.4.033601,P010_C01,Initial_FCC_fraction,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; Figs. 1-5; Summary and Conclusions,True
P010,10.1103/PhysRevMaterials.4.033601,P010_C01,Initial_HCP_fraction,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; Figs. 1-5; Summary and Conclusions,True
P010,10.1103/PhysRevMaterials.4.033601,P010_C01,Homogenization_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; Figs. 1-5; Summary and Conclusions,True
P010,10.1103/PhysRevMaterials.4.033601,P010_C01,Homogenization_time_h,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; Figs. 1-5; Summary and Conclusions,True
P010,10.1103/PhysRevMaterials.4.033601,P010_C01,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Abstract; Figs. 1-5; Summary and Conclusions,True
