element_symbol,atomic_number,property_name,value,unit,definition,methodology_or_scale,source,source_version_date,access_reference,validation_status,uncertainty,value_min,value_max,notes
Co,27,electronegativity,1.88,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
Co,27,atomic_radius,125.1,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",VALID,,,,Transcribed from the review table in nm and converted exactly to pm by multiplying by 1000.
Cr,24,atomic_weight,51.9961,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,0.0006,,,Parenthetical standard uncertainty is stored in uncertainty; value is the abridged standard atomic weight.
Cr,24,vec,6,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
Cr,24,electronegativity,1.66,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
Cr,24,atomic_radius,124.9,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",VALID,,,,Transcribed from the review table in nm and converted exactly to pm by multiplying by 1000.
Ni,28,atomic_weight,58.6934,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,0.0004,,,Parenthetical standard uncertainty is stored in uncertainty; value is the abridged standard atomic weight.
Ni,28,vec,10,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
Ni,28,electronegativity,1.91,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
Ni,28,atomic_radius,124.6,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",VALID,,,,Transcribed from the review table in nm and converted exactly to pm by multiplying by 1000.
N,7,atomic_weight,14.007,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,,14.00643,14.00728,Official interval retained in value_min/value_max; value is the CIAAW conventional value used deterministically for wt.% to at.% conversion.
N,7,vec,5,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
N,7,electronegativity,3.04,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
N,7,atomic_radius,,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",NOT_AVAILABLE,,,,No compatible metallic-radius entry was validated in the adopted dataset; no covalent or empirical radius was substituted.
Al,13,atomic_weight,26.9815384,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,0.0000003,,,Parenthetical standard uncertainty is stored in uncertainty; value is the abridged standard atomic weight.
Al,13,vec,3,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
Al,13,electronegativity,1.61,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
Al,13,atomic_radius,143.2,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",VALID,,,,Transcribed from the review table in nm and converted exactly to pm by multiplying by 1000.
Cu,29,atomic_weight,63.546,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,0.003,,,Parenthetical standard uncertainty is stored in uncertainty; value is the abridged standard atomic weight.
Cu,29,vec,11,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
Cu,29,electronegativity,1.9,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
Cu,29,atomic_radius,127.8,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",VALID,,,,Transcribed from the review table in nm and converted exactly to pm by multiplying by 1000.
Ti,22,atomic_weight,47.867,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,0.001,,,Parenthetical standard uncertainty is stored in uncertainty; value is the abridged standard atomic weight.
Ti,22,vec,4,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
Ti,22,electronegativity,1.54,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
Ti,22,atomic_radius,146.2,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",VALID,,,,Transcribed from the review table in nm and converted exactly to pm by multiplying by 1000.
V,23,atomic_weight,50.9415,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,0.0001,,,Parenthetical standard uncertainty is stored in uncertainty; value is the abridged standard atomic weight.
V,23,vec,5,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
V,23,electronegativity,1.63,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
V,23,atomic_radius,131.6,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",VALID,,,,Transcribed from the review table in nm and converted exactly to pm by multiplying by 1000.
Nb,41,atomic_weight,92.90637,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,0.00001,,,Parenthetical standard uncertainty is stored in uncertainty; value is the abridged standard atomic weight.
Nb,41,vec,5,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
Nb,41,electronegativity,1.6,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
Nb,41,atomic_radius,142.9,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",VALID,,,,Transcribed from the review table in nm and converted exactly to pm by multiplying by 1000.
Mo,42,atomic_weight,95.95,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,0.01,,,Parenthetical standard uncertainty is stored in uncertainty; value is the abridged standard atomic weight.
Mo,42,vec,6,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
Mo,42,electronegativity,2.16,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
Mo,42,atomic_radius,136.3,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",VALID,,,,Transcribed from the review table in nm and converted exactly to pm by multiplying by 1000.
W,74,atomic_weight,183.84,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,0.01,,,Parenthetical standard uncertainty is stored in uncertainty; value is the abridged standard atomic weight.
W,74,vec,6,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
W,74,electronegativity,2.36,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
W,74,atomic_radius,136.7,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",VALID,,,,Transcribed from the review table in nm and converted exactly to pm by multiplying by 1000.
Si,14,atomic_weight,28.085,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,,28.084,28.086,Official interval retained in value_min/value_max; value is the CIAAW conventional value used deterministically for wt.% to at.% conversion.
Si,14,vec,4,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
Si,14,electronegativity,1.9,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
Si,14,atomic_radius,,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",NOT_AVAILABLE,,,,No compatible metallic-radius entry was validated in the adopted dataset; no covalent or empirical radius was substituted.
C,6,atomic_weight,12.011,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,,12.0096,12.0116,Official interval retained in value_min/value_max; value is the CIAAW conventional value used deterministically for wt.% to at.% conversion.
C,6,vec,4,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
C,6,electronegativity,2.55,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
C,6,atomic_radius,,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",NOT_AVAILABLE,,,,No compatible metallic-radius entry was validated in the adopted dataset; no covalent or empirical radius was substituted.
