Paper_ID,DOI,Study_Series_ID,Material_Parent_ID,Physical_Batch_ID,ML_Condition_ID,Composition_Status,Processing_Status,Test_T_Raw,Test_T_K,Strain_Rate,Original_TRIP,Original_TWIP,Effective_TRIP,Effective_TWIP,Target_Status,Evidence_Confidence,Independent_ML_sample,Leakage_Group_Strict,Leakage_Group_Material,QC_Review_Status
P008,10.1016/j.ijplas.2021.102965,P008_SERIES01,P008_MAT_N0,,P008_MC_N0_FC,EXACT_BULK_CHEMISTRY_REPORTED,AVAILABLE,Room temperature,,0.001,,,1.0,,,High,True,P008_SERIES01,P008_MAT_N0,TARGET_REVIEW
P008,10.1016/j.ijplas.2021.102965,P008_SERIES01,P008_MAT_N2p6,,P008_MC_N2p6_HOMO,EXACT_BULK_CHEMISTRY_REPORTED,AVAILABLE,Room temperature,,0.001,,,,,,High,True,P008_SERIES01,P008_MAT_N2p6,TARGET_REVIEW
P008,10.1016/j.ijplas.2021.102965,P008_SERIES01,P008_MAT_N2p6,,P008_MC_N2p6_FC,EXACT_BULK_CHEMISTRY_REPORTED,AVAILABLE,Room temperature,,0.001,,,0.0,1.0,,High,True,P008_SERIES01,P008_MAT_N2p6,QC_ELIGIBLE
P010,10.1103/PhysRevMaterials.4.033601,P010_SERIES01,P010_MAT_AlloyI,,P010_MC_AlloyI,MEASURED_WET_CHEMISTRY_THREE_CAST_LOCATIONS,AVAILABLE,Room temperature,,0.001,,,1.0,1.0,,High,True,P010_SERIES01,P010_MAT_AlloyI,QC_ELIGIBLE
P010,10.1103/PhysRevMaterials.4.033601,P010_SERIES01,P010_MAT_AlloyII,,P010_MC_AlloyII,MEASURED_WET_CHEMISTRY_THREE_CAST_LOCATIONS,AVAILABLE,Room temperature,,0.001,,,0.0,1.0,,High,True,P010_SERIES01,P010_MAT_AlloyII,QC_ELIGIBLE
P010,10.1103/PhysRevMaterials.4.033601,P010_SERIES01,P010_MAT_AlloyIII,,P010_MC_AlloyIII,MEASURED_WET_CHEMISTRY_THREE_CAST_LOCATIONS,AVAILABLE,Room temperature,,0.001,,,1.0,1.0,,High,True,P010_SERIES01,P010_MAT_AlloyIII,QC_ELIGIBLE
P011,10.1016/j.jallcom.2023.170225,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,,P011_MC_A9_298K,at.% nominal; feedstock EDS retained separately,AVAILABLE,,298.0,0.001,,,,,TARGETS_UNRESOLVED,High,True,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,TARGET_REVIEW
P011,10.1016/j.jallcom.2023.170225,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,,P011_MC_A10_298K,at.% nominal; feedstock EDS retained separately,AVAILABLE,,298.0,0.001,,,1.0,1.0,VERIFIED_JOINT,High,True,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,QC_ELIGIBLE
P011,10.1016/j.jallcom.2023.170225,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,,P011_MC_A11_298K,at.% nominal; feedstock EDS retained separately,AVAILABLE,,298.0,0.001,,,,,TARGETS_UNRESOLVED,High,True,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,TARGET_REVIEW
P011,10.1016/j.jallcom.2023.170225,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,,P011_MC_A10_77K,at.% nominal; feedstock EDS retained separately,AVAILABLE,,77.0,0.001,,,1.0,0.0,VERIFIED_JOINT,High,True,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,QC_ELIGIBLE
P012,10.1016/j.jallcom.2022.165108,P012_SERIES01,P012_MAT_BASE,,P012_MC_BASE_RT,MEASURED_BULK,AVAILABLE,,298.0,0.001,0.0,1.0,,1.0,TWIP_VERIFIED; TRIP_UNRESOLVED_CONDITION_LEVEL,High,True,P012_SERIES01,P012_MAT_BASE,TARGET_REVIEW
P012,10.1016/j.jallcom.2022.165108,P012_SERIES01,P012_MAT_MO,,P012_MC_MO_RT,MEASURED_BULK,AVAILABLE,,298.0,0.001,0.0,1.0,,1.0,TWIP_VERIFIED; TRIP_UNRESOLVED_CONDITION_LEVEL,High,True,P012_SERIES01,P012_MAT_MO,TARGET_REVIEW
P012,10.1016/j.jallcom.2022.165108,P012_SERIES01,P012_MAT_C,,P012_MC_C_RT,MEASURED_BULK; actual C=0.6 at.%,AVAILABLE,,298.0,0.001,0.0,1.0,,1.0,TWIP_VERIFIED; TRIP_UNRESOLVED_CONDITION_LEVEL,High,True,P012_SERIES01,P012_MAT_C,TARGET_REVIEW
P012,10.1016/j.jallcom.2022.165108,P012_SERIES01,P012_MAT_BASE,,P012_MC_BASE_77K,MEASURED_BULK,AVAILABLE,,77.0,0.001,1.0,1.0,1.0,,TRIP_VERIFIED; TWIP_UNRESOLVED_CONDITION_LEVEL,High,True,P012_SERIES01,P012_MAT_BASE,TARGET_REVIEW
P012,10.1016/j.jallcom.2022.165108,P012_SERIES01,P012_MAT_MO,,P012_MC_MO_77K,MEASURED_BULK,AVAILABLE,,77.0,0.001,1.0,1.0,1.0,,TRIP_VERIFIED; TWIP_UNRESOLVED_CONDITION_LEVEL,High,True,P012_SERIES01,P012_MAT_MO,TARGET_REVIEW
P012,10.1016/j.jallcom.2022.165108,P012_SERIES01,P012_MAT_C,,P012_MC_C_77K,MEASURED_BULK; actual C=0.6 at.%,AVAILABLE,,77.0,0.001,1.0,1.0,1.0,1.0,VERIFIED_JOINT,High,True,P012_SERIES01,P012_MAT_C,QC_ELIGIBLE
P013,10.1016/j.ijplas.2024.104048,P013_SERIES01,P013_MAT_ASCAST,,P013_MC_ASCAST_RT,NOMINAL_ONLY_NO_BULK_CHEMICAL_ANALYSIS_REPORTED,AVAILABLE,Room temperature,,0.001,1.0,1.0,1.0,1.0,VERIFIED_JOINT,High,True,P013_SERIES01,P013_MAT_ASCAST,QC_ELIGIBLE
P014,10.3390/ma17235893,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,,P014_MC_ASCAST,NOMINAL_ONLY_NO_BULK_CHEMICAL_ANALYSIS_REPORTED,AVAILABLE,Not explicitly specified,,0.001,1.0,1.0,,,TARGETS_UNRESOLVED,High,True,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,TARGET_REVIEW
P014,10.3390/ma17235893,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,,P014_MC_CR,NOMINAL_ONLY_NO_BULK_CHEMICAL_ANALYSIS_REPORTED,AVAILABLE,Not explicitly specified,,0.001,1.0,1.0,,,TARGETS_UNRESOLVED,High,True,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,TARGET_REVIEW
P014,10.3390/ma17235893,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,,P014_MC_A600,NOMINAL_ONLY_NO_BULK_CHEMICAL_ANALYSIS_REPORTED,AVAILABLE,Not explicitly specified,,0.001,1.0,1.0,1.0,1.0,VERIFIED_JOINT,High,True,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,QC_ELIGIBLE
P014,10.3390/ma17235893,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,,P014_MC_A650,NOMINAL_ONLY_NO_BULK_CHEMICAL_ANALYSIS_REPORTED,AVAILABLE,Not explicitly specified,,0.001,1.0,1.0,,,TARGETS_UNRESOLVED,High,True,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,TARGET_REVIEW
P014,10.3390/ma17235893,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,,P014_MC_A700,NOMINAL_ONLY_NO_BULK_CHEMICAL_ANALYSIS_REPORTED,AVAILABLE,Not explicitly specified,,0.001,1.0,1.0,,,TARGETS_UNRESOLVED,High,True,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,TARGET_REVIEW
P015,10.1016/j.jallcom.2026.188919,P015_SERIES01,P015_MAT_FE50MN20CR20NI10,,P015_MC_298K,NOMINAL_ONLY_NO_POSTMELT_BULK_CHEMICAL_ANALYSIS_REPORTED,AVAILABLE,298 K,298.0,0.001,0.0,1.0,0.0,1.0,VERIFIED_JOINT,High,True,P015_SERIES01,P015_MAT_FE50MN20CR20NI10,QC_ELIGIBLE
P015,10.1016/j.jallcom.2026.188919,P015_SERIES01,P015_MAT_FE50MN20CR20NI10,,P015_MC_77K,NOMINAL_ONLY_NO_POSTMELT_BULK_CHEMICAL_ANALYSIS_REPORTED,AVAILABLE,77 K,77.0,0.001,1.0,1.0,1.0,1.0,VERIFIED_JOINT,High,True,P015_SERIES01,P015_MAT_FE50MN20CR20NI10,QC_ELIGIBLE
