Source_Row_Index,Paper_ID,DOI,ML_Condition_ID,Observation_ID,Study_Series_ID,Material_Parent_ID,Leakage_Group_Strict,Effective_Group_ID,Alloy_Family_Audit_Key,Data_Origin,Observation_Role,Independent_Experimental_ML_sample,Effective_TRIP,Effective_TWIP,T2_ANY_TWIP,T2_FCC_TWIP_STRICT,T1_TRIP_STRICT_DIRECT,T2_ANY_TWIP_STRICT_DIRECT,TRIP_Evidence_Quality_Flag,TWIP_Evidence_Quality_Flag,TWIP_Phase,TWIP_Phase_Category,Target_Status,Label_confidence,Target_Evidence_Confidence,M2_Composition_Source,M2_Composition_Selection_Note,M2_Fe_at%,M2_Mn_at%,M2_Co_at%,M2_Cr_at%,M2_Test_T_K,M2_Strain_rate_s-1,M2_Missing_Required_Fields,M2_Complete
32,P007,10.1016/j.actamat.2022.117974,P007_MC_A600_1h,OBS033,P007_SERIES01,P007_MAT01,P007_SERIES01,P007_SERIES01,MATERIAL::P007_MAT01,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,49.78,29.86,9.88,9.91,298.0,0.001,,True
33,P007,10.1016/j.actamat.2022.117974,P007_MC_A600_2h,OBS034,P007_SERIES01,P007_MAT01,P007_SERIES01,P007_SERIES01,MATERIAL::P007_MAT01,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,49.78,29.86,9.88,9.91,298.0,0.001,,True
34,P007,10.1016/j.actamat.2022.117974,P007_MC_A600_5h,OBS035,P007_SERIES01,P007_MAT01,P007_SERIES01,P007_SERIES01,MATERIAL::P007_MAT01,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,Medium,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,49.78,29.86,9.88,9.91,298.0,0.001,,True
35,P007,10.1016/j.actamat.2022.117974,P007_MC_A600_10h,OBS036,P007_SERIES01,P007_MAT01,P007_SERIES01,P007_SERIES01,MATERIAL::P007_MAT01,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,0.0,0.0,0,1,0,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,,High,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,49.78,29.86,9.88,9.91,298.0,0.001,,True
36,P007,10.1016/j.actamat.2022.117974,P007_MC_A600_72h,OBS037,P007_SERIES01,P007_MAT01,P007_SERIES01,P007_SERIES01,MATERIAL::P007_MAT01,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,49.78,29.86,9.88,9.91,298.0,0.001,,True
38,P008,10.1016/j.ijplas.2021.102965,P008_MC_N2p6_PC,OBS039,P008_SERIES01,P008_MAT_N2p6,P008_SERIES01,P008_SERIES01,MATERIAL::P008_MAT_N2p6,EXPERIMENTAL,INDEPENDENT_CONDITION,,0.0,1.0,1.0,,0,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,,MEASURED_BULK,Selected explicitly reported Recovered_Bulk_Composition_at_pct,45.9,30.4,10.5,10.6,298.0,0.001,,True
72,P016,10.1016/j.actamat.2018.10.017,P016_MC_400C_3min,OBS073,,,,PAPER::P016,FORMULA::FE49.5MN30CO10CR10C0.5,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,Medium,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,49.5,30.0,10.0,10.0,298.0,0.001,,True
73,P016,10.1016/j.actamat.2018.10.017,P016_MC_400C_10min,OBS074,,,,PAPER::P016,FORMULA::FE49.5MN30CO10CR10C0.5,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,Medium,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,49.5,30.0,10.0,10.0,298.0,0.001,,True
98,P016,10.1016/j.actamat.2018.10.017,P016_MC_650C_3min,P016_OBS_CONDITION_650C_3min,,,,PAPER::P016,PAPER::P016::UNRESOLVED_FAMILY,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,,,,1,,DIRECT_HIGH_CONFIDENCE,NA,,NA,,High,,UNAVAILABLE,No policy-compatible bulk or nominal representation,,,,,,,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,False
99,P016,10.1016/j.actamat.2018.10.017,P016_MC_650C_10min,P016_OBS_CONDITION_650C_10min,,,,PAPER::P016,PAPER::P016::UNRESOLVED_FAMILY,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,,,,1,,DIRECT_HIGH_CONFIDENCE,NA,,NA,,High,,UNAVAILABLE,No policy-compatible bulk or nominal representation,,,,,,,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,False
100,P016,10.1016/j.actamat.2018.10.017,P016_MC_750C_3min,P016_OBS_CONDITION_750C_3min,,,,PAPER::P016,PAPER::P016::UNRESOLVED_FAMILY,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,,UNAVAILABLE,No policy-compatible bulk or nominal representation,,,,,,,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,False
101,P016,10.1016/j.actamat.2018.10.017,P016_MC_750C_10min,P016_OBS_CONDITION_750C_10min,,,,PAPER::P016,PAPER::P016::UNRESOLVED_FAMILY,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,High,,UNAVAILABLE,No policy-compatible bulk or nominal representation,,,,,,,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,False
113,P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,P008_OBS_N0_HOMO,P008_SERIES01,P008_MAT_N0,P008_SERIES01,P008_SERIES01,MATERIAL::P008_MAT_N0,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,,,MEASURED_BULK,Selected explicitly reported Recovered_Bulk_Composition_at_pct,49.6,30.0,10.0,10.4,,0.001,Test_T_K,False
114,P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_PC,P008_OBS_N0_PC,P008_SERIES01,P008_MAT_N0,P008_SERIES01,P008_SERIES01,MATERIAL::P008_MAT_N0,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,,,OTHER_VERIFIED,OTHER_VERIFIED,,OTHER_UNKNOWN,,,,MEASURED_BULK,Selected explicitly reported Recovered_Bulk_Composition_at_pct,49.6,30.0,10.0,10.4,,0.001,Test_T_K,False
115,P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_FC,P008_OBS_N0_FC,P008_SERIES01,P008_MAT_N0,P008_SERIES01,P008_SERIES01,MATERIAL::P008_MAT_N0,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,,,,,,OTHER_VERIFIED,NA,,NA,,,,MEASURED_BULK,Selected explicitly reported Recovered_Bulk_Composition_at_pct,49.6,30.0,10.0,10.4,,0.001,Test_T_K,False
116,P008,10.1016/j.ijplas.2021.102965,P008_MC_N2p6_HOMO,P008_OBS_N2p6_HOMO,P008_SERIES01,P008_MAT_N2p6,P008_SERIES01,P008_SERIES01,MATERIAL::P008_MAT_N2p6,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,,,MEASURED_BULK,Selected explicitly reported Recovered_Bulk_Composition_at_pct,45.9,30.4,10.5,10.6,,0.001,Test_T_K,False
117,P008,10.1016/j.ijplas.2021.102965,P008_MC_N2p6_FC,P008_OBS_N2p6_FC,P008_SERIES01,P008_MAT_N2p6,P008_SERIES01,P008_SERIES01,MATERIAL::P008_MAT_N2p6,EXPERIMENTAL,INDEPENDENT_CONDITION,,0.0,1.0,1.0,,0,,OTHER_VERIFIED,OTHER_VERIFIED,,OTHER_UNKNOWN,,,,MEASURED_BULK,Selected explicitly reported Recovered_Bulk_Composition_at_pct,45.9,30.4,10.5,10.6,,0.001,Test_T_K,False
118,P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyI,P010_OBS_AlloyI_condition,P010_SERIES01,P010_MAT_AlloyI,P010_SERIES01,P010_SERIES01,FORMULA::CR20MN24FE30CO20NI6,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,,MEASURED_BULK,Selected structured measured wet chemistry,30.39,23.81,19.87,19.93,,0.001,Test_T_K,False
119,P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyII,P010_OBS_AlloyII_condition,P010_SERIES01,P010_MAT_AlloyII,P010_SERIES01,P010_SERIES01,FORMULA::CR20MN30FE24CO20NI6,EXPERIMENTAL,INDEPENDENT_CONDITION,,0.0,1.0,1.0,,0,1,OTHER_VERIFIED,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,,MEASURED_BULK,Selected structured measured wet chemistry,24.51,29.66,19.94,19.91,,0.001,Test_T_K,False
120,P010,10.1103/PhysRevMaterials.4.033601,P010_MC_AlloyIII,P010_OBS_AlloyIII_condition,P010_SERIES01,P010_MAT_AlloyIII,P010_SERIES01,P010_SERIES01,FORMULA::CR20MN15FE34CO20NI11,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,,MEASURED_BULK,Selected structured measured wet chemistry,32.36,15.35,20.61,20.33,,0.001,Test_T_K,False
127,P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,P011_SERIES01,P011_SERIES01,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,High,,NOMINAL,Nominal formula selected; feedstock EDS not promoted to bulk chemistry,50.0,30.0,10.0,10.0,298.0,0.001,,True
128,P011,10.1016/j.jallcom.2023.170225,P011_MC_A10_298K,P011_OBS_A10_298K_condition,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,P011_SERIES01,P011_SERIES01,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,,NOMINAL,Nominal formula selected; feedstock EDS not promoted to bulk chemistry,50.0,30.0,10.0,10.0,298.0,0.001,,True
129,P011,10.1016/j.jallcom.2023.170225,P011_MC_A11_298K,P011_OBS_A11_298K_condition,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,P011_SERIES01,P011_SERIES01,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,High,,NOMINAL,Nominal formula selected; feedstock EDS not promoted to bulk chemistry,50.0,30.0,10.0,10.0,298.0,0.001,,True
130,P011,10.1016/j.jallcom.2023.170225,P011_MC_A10_77K,P011_OBS_A10_77K_condition,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,P011_SERIES01,P011_SERIES01,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,0.0,0.0,0,1,0,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,,High,,NOMINAL,Nominal formula selected; feedstock EDS not promoted to bulk chemistry,50.0,30.0,10.0,10.0,77.0,0.001,,True
137,P012,10.1016/j.jallcom.2022.165108,P012_MC_BASE_RT,P012_OBS_BASE_RT_condition,P012_SERIES01,P012_MAT_BASE,P012_SERIES01,P012_SERIES01,FORMULA::FE40MN40CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,,1.0,1.0,1,,1,NA,DIRECT_HIGH_CONFIDENCE,,FCC,,High,,MEASURED_BULK,Selected explicitly reported Measured_Composition_at_pct,39.9,40.3,10.0,9.8,298.0,0.001,,True
138,P012,10.1016/j.jallcom.2022.165108,P012_MC_MO_RT,P012_OBS_MO_RT_condition,P012_SERIES01,P012_MAT_MO,P012_SERIES01,P012_SERIES01,FORMULA::FE38.3MN40CO10CR10MO1.7,EXPERIMENTAL,INDEPENDENT_CONDITION,,,1.0,1.0,1,,1,NA,DIRECT_HIGH_CONFIDENCE,,FCC,,High,,MEASURED_BULK,Selected explicitly reported Measured_Composition_at_pct,38.3,40.5,9.7,9.8,298.0,0.001,,True
139,P012,10.1016/j.jallcom.2022.165108,P012_MC_C_RT,P012_OBS_C_RT_condition,P012_SERIES01,P012_MAT_C,P012_SERIES01,P012_SERIES01,FORMULA::FE39.5MN40CO10CR10C0.5,EXPERIMENTAL,INDEPENDENT_CONDITION,,,1.0,1.0,1,,1,NA,DIRECT_HIGH_CONFIDENCE,,FCC,,High,,MEASURED_BULK,Selected explicitly reported Measured_Composition_at_pct,39.13,41.23,9.98,9.06,298.0,0.001,,True
140,P012,10.1016/j.jallcom.2022.165108,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,P012_SERIES01,P012_MAT_BASE,P012_SERIES01,P012_SERIES01,FORMULA::FE40MN40CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,,,,,,OTHER_VERIFIED,NA,,NA,,High,,MEASURED_BULK,Selected explicitly reported Measured_Composition_at_pct,39.9,40.3,10.0,9.8,77.0,0.001,,True
141,P012,10.1016/j.jallcom.2022.165108,P012_MC_MO_77K,P012_OBS_MO_77K_condition,P012_SERIES01,P012_MAT_MO,P012_SERIES01,P012_SERIES01,FORMULA::FE38.3MN40CO10CR10MO1.7,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,,,,,,OTHER_VERIFIED,NA,,NA,,High,,MEASURED_BULK,Selected explicitly reported Measured_Composition_at_pct,38.3,40.5,9.7,9.8,77.0,0.001,,True
142,P012,10.1016/j.jallcom.2022.165108,P012_MC_C_77K,P012_OBS_C_77K_condition,P012_SERIES01,P012_MAT_C,P012_SERIES01,P012_SERIES01,FORMULA::FE39.5MN40CO10CR10C0.5,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,1,,1,OTHER_VERIFIED,DIRECT_HIGH_CONFIDENCE,,FCC,,High,,MEASURED_BULK,Selected explicitly reported Measured_Composition_at_pct,39.13,41.23,9.98,9.06,77.0,0.001,,True
163,P013,10.1016/j.ijplas.2024.104048,P013_MC_ASCAST_RT,P013_OBS_CONDITION,P013_SERIES01,P013_MAT_ASCAST,P013_SERIES01,P013_SERIES01,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,HCP_EPSILON,,High,,NOMINAL,Selected explicitly reported nominal composition,50.0,30.0,10.0,10.0,,0.001,Test_T_K,False
169,P014,10.3390/ma17235893,P014_MC_ASCAST,P014_OBS_CONDITION_ASCAST,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,P014_SERIES01,P014_SERIES01,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,High,,NOMINAL,Selected explicitly reported nominal composition,50.0,30.0,10.0,10.0,,0.001,Test_T_K,False
170,P014,10.3390/ma17235893,P014_MC_CR,P014_OBS_CONDITION_CR,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,P014_SERIES01,P014_SERIES01,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,High,,NOMINAL,Selected explicitly reported nominal composition,50.0,30.0,10.0,10.0,,0.001,Test_T_K,False
171,P014,10.3390/ma17235893,P014_MC_A600,P014_OBS_CONDITION_A600,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,P014_SERIES01,P014_SERIES01,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,,,OTHER_VERIFIED,OTHER_VERIFIED,,OTHER_UNKNOWN,,High,,NOMINAL,Selected explicitly reported nominal composition,50.0,30.0,10.0,10.0,,0.001,Test_T_K,False
172,P014,10.3390/ma17235893,P014_MC_A650,P014_OBS_CONDITION_A650,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,P014_SERIES01,P014_SERIES01,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,High,,NOMINAL,Selected explicitly reported nominal composition,50.0,30.0,10.0,10.0,,0.001,Test_T_K,False
173,P014,10.3390/ma17235893,P014_MC_A700,P014_OBS_CONDITION_A700,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,P014_SERIES01,P014_SERIES01,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,High,,NOMINAL,Selected explicitly reported nominal composition,50.0,30.0,10.0,10.0,,0.001,Test_T_K,False
178,P015,10.1016/j.jallcom.2026.188919,P015_MC_298K,P015_OBS_298K,P015_SERIES01,P015_MAT_FE50MN20CR20NI10,P015_SERIES01,P015_SERIES01,FORMULA::FE50MN20CR20NI10,EXPERIMENTAL,INDEPENDENT_CONDITION,,0.0,1.0,1.0,1,0,,OTHER_VERIFIED,OTHER_VERIFIED,,FCC,,High,,NOMINAL,Selected explicitly reported nominal composition,50.0,20.0,,20.0,298.0,0.001,Co_at%,False
179,P015,10.1016/j.jallcom.2026.188919,P015_MC_77K,P015_OBS_77K,P015_SERIES01,P015_MAT_FE50MN20CR20NI10,P015_SERIES01,P015_SERIES01,FORMULA::FE50MN20CR20NI10,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,,,OTHER_VERIFIED,OTHER_VERIFIED,,OTHER_UNKNOWN,,High,,NOMINAL,Selected explicitly reported nominal composition,50.0,20.0,,20.0,77.0,0.001,Co_at%,False
192,P002,10.1016/j.msea.2020.140441,P002_MC_A600_RT,P002_OBS_A600_RT,P002_SERIES01,P002_MAT_FE40MN10CO20CR20NI10,P002_SERIES01,P002_SERIES01,FORMULA::FE40MN10CO20CR20NI10,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,,,,,,NA,NA,,NA,,High_for_NA_decision,High_for_NA_decision,NOMINAL,Selected explicitly reported nominal composition,40.0,10.0,20.0,20.0,,0.001,Test_T_K,False
193,P002,10.1016/j.msea.2020.140441,P002_MC_A700_RT,P002_OBS_A700_RT,P002_SERIES01,P002_MAT_FE40MN10CO20CR20NI10,P002_SERIES01,P002_SERIES01,FORMULA::FE40MN10CO20CR20NI10,EXPERIMENTAL,INDEPENDENT_CONDITION,True,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,High,NOMINAL,Selected explicitly reported nominal composition,40.0,10.0,20.0,20.0,,0.001,Test_T_K,False
194,P002,10.1016/j.msea.2020.140441,P002_MC_A800_RT,P002_OBS_A800_RT,P002_SERIES01,P002_MAT_FE40MN10CO20CR20NI10,P002_SERIES01,P002_SERIES01,FORMULA::FE40MN10CO20CR20NI10,EXPERIMENTAL,INDEPENDENT_CONDITION,True,1.0,1.0,1.0,,,,AUTHOR_ATTRIBUTED_OR_MEDIUM,AUTHOR_ATTRIBUTED_OR_MEDIUM,,OTHER_UNKNOWN,,High_TRIP_Medium_TWIP,High_TRIP_Medium_TWIP,NOMINAL,Selected explicitly reported nominal composition,40.0,10.0,20.0,20.0,,0.001,Test_T_K,False
207,P020,10.1080/21663831.2018.1523239,P020_MC_TRIPHEA_INSITU,P020_OBS_PRIMARY,P020_SERIES01,P020_MAT_FE50MN30CO10CR10,P020_SERIES01,P020_SERIES01,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,True,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,HCP,HCP_EPSILON,VERIFIED_JOINT,High,High,NOMINAL,Selected explicitly reported nominal composition,50.0,30.0,10.0,10.0,,,Test_T_K|Strain_rate_s-1,False
214,P021,10.1016/j.jallcom.2021.162765,P021_MC_A900_5M_RT_G10,P021_OBS_A900_5M_RT_G10,P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,P021_SERIES01,P021_SERIES01,FORMULA::FE50MN17.5CR12.5CO10NI5SI5,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,,,,,,NA,NA,,NA,TARGETS_UNRESOLVED,High_for_NA_decision,High_for_NA_decision,NOMINAL,Selected explicitly reported nominal composition,50.0,17.5,10.0,12.5,298.0,0.001,,True
215,P021,10.1016/j.jallcom.2021.162765,P021_MC_A900_25M_RT_G19,P021_OBS_A900_25M_RT_G19,P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,P021_SERIES01,P021_SERIES01,FORMULA::FE50MN17.5CR12.5CO10NI5SI5,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,,,,,,NA,NA,,NA,TARGETS_UNRESOLVED,High_for_NA_decision,High_for_NA_decision,NOMINAL,Selected explicitly reported nominal composition,50.0,17.5,10.0,12.5,298.0,0.001,,True
