Paper_ID,ML_Condition_ID,Observation_ID,Feature_Name,Original_Value,Recovered_Value,Units,Evidence_Type,Evidence_Location,Page,Figure,Table,Section,Extraction_Method,Confidence,Reviewer_Status,Reviewer_Notes
P001,P001_MC01,OBS005,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,processing history,Processing_route=Same as P001_C01; local strain regions after tensile testing | Cast_method=Vacuum arc melting | Homogenization_T_K=1453.0 | Homogenization_time_h=2.0 | Hot_rolling_T_K=1373.0 | Hot_rolling_reduction_pct=50.0 | Cold_rolling_reduction_pct=80.0 | Annealing_T_K=1223.0 | Annealing_time_min=5.0 | Cooling_route=Water quench,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,TRIP evidence,Evidence_TRIP=HCP/twins almost absent at early local strain,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,TWIP evidence,Evidence_TWIP=No strong deformation twin contribution reported,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,phase-transformation evidence,HCP_lath_or_lamella_note=ECC: SF density increases with local strain | Characterization_methods=ECC; EBSD; HRTEM; neutron diffraction,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,condition-to-test-series linkage,Parent_Experiment_ID=P001_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,grain size,Grain_size_um=14.9,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,SFE,SFE_mJ_m2=7.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,SFE method,SFE_method=weak-beam dark-field STEM partial separation,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,processing history,Processing_route=Same as P001_C01; local strain regions after tensile testing | Cast_method=Vacuum arc melting | Homogenization_T_K=1453.0 | Homogenization_time_h=2.0 | Hot_rolling_T_K=1373.0 | Hot_rolling_reduction_pct=50.0 | Cold_rolling_reduction_pct=80.0 | Annealing_T_K=1223.0 | Annealing_time_min=5.0 | Cooling_route=Water quench,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,TRIP evidence,Evidence_TRIP=HCP/twins almost absent at early local strain,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,TWIP evidence,Evidence_TWIP=No strong deformation twin contribution reported,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,phase-transformation evidence,HCP_lath_or_lamella_note=ECC: SF density increases with local strain | Characterization_methods=ECC; EBSD; HRTEM; neutron diffraction,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS006,condition-to-test-series linkage,Parent_Experiment_ID=P001_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,grain size,Grain_size_um=14.9,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,SFE,SFE_mJ_m2=7.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,SFE method,SFE_method=weak-beam dark-field STEM partial separation,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,processing history,Processing_route=Same as P001_C01; local strain regions after tensile testing | Cast_method=Vacuum arc melting | Homogenization_T_K=1453.0 | Homogenization_time_h=2.0 | Hot_rolling_T_K=1373.0 | Hot_rolling_reduction_pct=50.0 | Cold_rolling_reduction_pct=80.0 | Annealing_T_K=1223.0 | Annealing_time_min=5.0 | Cooling_route=Water quench,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,TRIP evidence,Evidence_TRIP=HCP/twins almost absent at early local strain,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,TWIP evidence,Evidence_TWIP=No strong deformation twin contribution reported,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,phase-transformation evidence,HCP_lath_or_lamella_note=ECC: SF density increases; HCP/twins almost absent in ECC | Characterization_methods=ECC; EBSD; HRTEM; neutron diffraction,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS007,condition-to-test-series linkage,Parent_Experiment_ID=P001_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,grain size,Grain_size_um=14.9,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,SFE,SFE_mJ_m2=7.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,SFE method,SFE_method=weak-beam dark-field STEM partial separation,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,processing history,Processing_route=Same as P001_C01; local strain regions after tensile testing | Cast_method=Vacuum arc melting | Homogenization_T_K=1453.0 | Homogenization_time_h=2.0 | Hot_rolling_T_K=1373.0 | Hot_rolling_reduction_pct=50.0 | Cold_rolling_reduction_pct=80.0 | Annealing_T_K=1223.0 | Annealing_time_min=5.0 | Cooling_route=Water quench,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,TRIP evidence,Evidence_TRIP=EBSD/HRTEM/neutron evidence for limited HCP at high deformation,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,TWIP evidence,Evidence_TWIP=No strong deformation twin contribution reported,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,phase-transformation evidence,HCP_lath_or_lamella_note=EBSD/HRTEM: very limited HCP; SFs dominant over HCP lamella growth | Characterization_methods=ECC; EBSD; HRTEM; neutron diffraction,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS008,condition-to-test-series linkage,Parent_Experiment_ID=P001_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,grain size,Grain_size_um=4.7,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,SFE,SFE_mJ_m2=14.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,SFE method,SFE_method=estimated/calculated in paper,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,DeltaG / transformation driving force,DeltaG_FCC_HCP_J_mol=-292.0,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,processing history,Processing_route=Vacuum induction cast; hot rolled 900C 50%; homogenized 1200C/2h Ar; water quenched; cold rolled 70%; annealed 30 min | Cast_method=Vacuum induction melting | Homogenization_T_K=1473.0 | Homogenization_time_h=2.0 | Hot_rolling_T_K=1173.0 | Hot_rolling_reduction_pct=50.0 | Cold_rolling_reduction_pct=70.0 | Annealing_T_K=1073.0 | Annealing_time_min=30.0 | Cooling_route=Water quench,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,mechanical properties,YS_MPa=375.0 | UTS_MPa=785.0 | Elongation_pct=77.5,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,TRIP evidence,Evidence_TRIP=EBSD/TEM evidence for FCC→HCP where activated,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,TWIP evidence,Evidence_TWIP=TEM/EBSD evidence for nano-twinning where activated,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,phase-transformation evidence,Characterization_methods=EBSD; XRD; EDS; TEM; HAADF-STEM; DIC,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC01,OBS009,condition-to-test-series linkage,Parent_Experiment_ID=P002_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC02,OBS010,grain size,,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC02,OBS010,SFE,SFE_mJ_m2=14.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC02,OBS010,SFE method,SFE_method=estimated/calculated in paper,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC02,OBS010,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC02,OBS010,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC02,OBS010,DeltaG / transformation driving force,DeltaG_FCC_HCP_J_mol=-292.0,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC02,OBS010,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC02,OBS010,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC02,OBS010,processing history,Processing_route=Vacuum induction cast; hot rolled 900C 50%; homogenized 1200C/2h Ar; water quenched; cold rolled 70%; annealed 30 min | Cast_method=Vacuum induction melting | Homogenization_T_K=1473.0 | Homogenization_time_h=2.0 | Hot_rolling_T_K=1173.0 | Hot_rolling_reduction_pct=50.0 | Cold_rolling_reduction_pct=70.0 | Annealing_T_K=973.0 | Annealing_time_min=30.0 | Cooling_route=Water quench,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC02,OBS010,mechanical properties,YS_MPa=589.0 | UTS_MPa=865.0 | Elongation_pct=69.1,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P002,P002_MC02,OBS010,TRIP evidence,Evidence_TRIP=EBSD/TEM evidence for FCC→HCP where activated,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
