Column_Name,Data_Type,Scientific_Family,Prediction_Time_Class,Proposed_Model_Role,Experimental_Domain_Eligibility,Computational_Domain_Eligibility,Known_Before_Deformation,Direct_Source_or_Derived,Method_Sensitive,Temperature_Sensitive,Phase_Sensitive,Potential_Leakage,Leakage_Reason,Missingness_Concern,Scope_Constraint,Recommended_V1_Action,Notes
Fe_at%,CONTINUOUS_NUMERIC,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,LOW; experimental nonmissing 42/51 (82.35%),Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Mn_at%,CONTINUOUS_NUMERIC,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,LOW; experimental nonmissing 42/51 (82.35%),Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Co_at%,CONTINUOUS_NUMERIC,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,MODERATE; experimental nonmissing 40/51 (78.43%),Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Cr_at%,CONTINUOUS_NUMERIC,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,LOW; experimental nonmissing 42/51 (82.35%),Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Ni_at%,CONTINUOUS_NUMERIC,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,HIGH; experimental nonmissing 18/51 (35.29%),Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
N_at%,CONTINUOUS_NUMERIC,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,SEVERE; experimental nonmissing 1/51 (1.96%),Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
C_at%,CONTINUOUS_NUMERIC,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,SEVERE; experimental nonmissing 9/51 (17.65%),Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Mo_at%,CONTINUOUS_NUMERIC,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,SEVERE; experimental nonmissing 7/51 (13.73%),Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Si_at%,CONTINUOUS_NUMERIC,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,SEVERE; experimental nonmissing 3/51 (5.88%),Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Ti_at%,CONTINUOUS_NUMERIC,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,SEVERE; experimental nonmissing 5/51 (9.80%),Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
V_at%,CONTINUOUS_NUMERIC,CHEMISTRY,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,SEVERE; experimental nonmissing 5/51 (9.80%),Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Other_elements,TEXT,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,CONDITIONAL_CANDIDATE_PREDICTOR,CONDITIONAL_SCOPE_CONTROL_REQUIRED,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,CONDITIONAL_ON_SCOPE,DIRECT_SOURCE_FIELD,NO,NO,NO,CONDITIONAL,"Safe only after method, scope, timing, or availability control.",NO_EXPERIMENTAL_COVERAGE; experimental nonmissing 0/51 (0.00%),Retain source basis and scope; measured bulk is preferred over nominal only under the documented future policy.,RETAIN_CONDITIONALLY; REQUIRE_SCOPE_GATE,Candidate status does not authorize pooling heterogeneous methods or filling missing values.
Processing_route,TEXT,PROCESSING,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,LOW; experimental nonmissing 42/51 (82.35%),Must describe processing completed before the tensile test; route text is not encoded in this task.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Cast_method,TEXT,PROCESSING,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,MODERATE; experimental nonmissing 30/51 (58.82%),Must describe processing completed before the tensile test; route text is not encoded in this task.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Homogenization_T_K,CONTINUOUS_NUMERIC,PROCESSING,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,MODERATE; experimental nonmissing 32/51 (62.75%),Must describe processing completed before the tensile test; route text is not encoded in this task.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Homogenization_time_h,INTEGER_NUMERIC,PROCESSING,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,MODERATE; experimental nonmissing 32/51 (62.75%),Must describe processing completed before the tensile test; route text is not encoded in this task.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Hot_rolling_T_K,CONTINUOUS_NUMERIC,PROCESSING,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,HIGH; experimental nonmissing 22/51 (43.14%),Must describe processing completed before the tensile test; route text is not encoded in this task.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Hot_rolling_reduction_pct,INTEGER_NUMERIC,PROCESSING,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,HIGH; experimental nonmissing 22/51 (43.14%),Must describe processing completed before the tensile test; route text is not encoded in this task.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Cold_rolling_reduction_pct,INTEGER_NUMERIC,PROCESSING,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,SOURCE_REPORTED_OR_EXPLICIT_SOURCE_DERIVATION,NO,NO,NO,NO,Direct source-supported information available before loading.,MODERATE; experimental nonmissing 35/51 (68.63%),Must describe processing completed before the tensile test; route text is not encoded in this task.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Annealing_T_K,CONTINUOUS_NUMERIC,PROCESSING,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,LOW; experimental nonmissing 41/51 (80.39%),Must describe processing completed before the tensile test; route text is not encoded in this task.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Annealing_time_min,INTEGER_NUMERIC,PROCESSING,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,MODERATE; experimental nonmissing 37/51 (72.55%),Must describe processing completed before the tensile test; route text is not encoded in this task.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Cooling_route,TEXT,PROCESSING,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,MODERATE; experimental nonmissing 27/51 (52.94%),Must describe processing completed before the tensile test; route text is not encoded in this task.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Test_T_K,INTEGER_NUMERIC,TEST_CONDITIONS,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,YES,NO,NO,Direct source-supported information available before loading.,MODERATE; experimental nonmissing 33/51 (64.71%),Must be a planned condition known before loading; no missing temperature/rate is inferred.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Strain_rate_s-1,CONTINUOUS_NUMERIC,TEST_CONDITIONS,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,NO,NO,NO,NO,Direct source-supported information available before loading.,LOW; experimental nonmissing 47/51 (92.16%),Must be a planned condition known before loading; no missing temperature/rate is inferred.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Gauge_length_mm,INTEGER_NUMERIC,TEST_CONDITIONS,METADATA_ONLY,AUDIT_OR_DESCRIPTIVE_ONLY,NOT_ELIGIBLE_AS_ORDINARY_PREDICTOR,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,NOT_APPLICABLE_TO_MODEL_ROLE,SOURCE_OR_REPOSITORY_BOOKKEEPING,NO,NO,NO,YES_IF_MODELED,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",NOT_MODEL_APPLICABLE; experimental nonmissing 34/51,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",RETAIN; BLOCK_AS_ORDINARY_PREDICTOR,Primary V1 family: TEST_CONDITIONS; classification is frozen for pre-deformation prediction.
Gauge_width_mm,CONTINUOUS_NUMERIC,TEST_CONDITIONS,METADATA_ONLY,AUDIT_OR_DESCRIPTIVE_ONLY,NOT_ELIGIBLE_AS_ORDINARY_PREDICTOR,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,NOT_APPLICABLE_TO_MODEL_ROLE,SOURCE_OR_REPOSITORY_BOOKKEEPING,NO,NO,NO,YES_IF_MODELED,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",NOT_MODEL_APPLICABLE; experimental nonmissing 27/51,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",RETAIN; BLOCK_AS_ORDINARY_PREDICTOR,Primary V1 family: TEST_CONDITIONS; classification is frozen for pre-deformation prediction.
Specimen_thickness_mm,CONTINUOUS_NUMERIC,TEST_CONDITIONS,METADATA_ONLY,AUDIT_OR_DESCRIPTIVE_ONLY,NOT_ELIGIBLE_AS_ORDINARY_PREDICTOR,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,NOT_APPLICABLE_TO_MODEL_ROLE,SOURCE_OR_REPOSITORY_BOOKKEEPING,NO,NO,NO,YES_IF_MODELED,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",NOT_MODEL_APPLICABLE; experimental nonmissing 27/51,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",RETAIN; BLOCK_AS_ORDINARY_PREDICTOR,Primary V1 family: TEST_CONDITIONS; classification is frozen for pre-deformation prediction.
True_strain,CONTINUOUS_NUMERIC,POST_DEFORMATION_MICROSTRUCTURE,POST_TEST_LEAKAGE,PERMANENTLY_BLOCK_FROM_PRIMARY_PREDICTORS,NOT_ELIGIBLE_LEAKAGE,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,NO,DIRECT_SOURCE_FIELD,NO,NO,YES,YES,The field is observed only after tensile deformation starts or after fracture.,NOT_MODEL_APPLICABLE; experimental nonmissing 0/51,Permanently excluded from primary pre-deformation TRIP/TWIP predictor matrices.,PERMANENTLY_BLOCK_FROM_PRIMARY_PREDICTORS,Primary V1 family: POST_DEFORMATION_MICROSTRUCTURE; classification is frozen for pre-deformation prediction.
Local_strain,CONTINUOUS_NUMERIC,POST_DEFORMATION_MICROSTRUCTURE,POST_TEST_LEAKAGE,PERMANENTLY_BLOCK_FROM_PRIMARY_PREDICTORS,NOT_ELIGIBLE_LEAKAGE,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,NO,DIRECT_SOURCE_FIELD,NO,NO,YES,YES,The field is observed only after tensile deformation starts or after fracture.,NOT_MODEL_APPLICABLE; experimental nonmissing 0/51,Permanently excluded from primary pre-deformation TRIP/TWIP predictor matrices.,PERMANENTLY_BLOCK_FROM_PRIMARY_PREDICTORS,Primary V1 family: POST_DEFORMATION_MICROSTRUCTURE; classification is frozen for pre-deformation prediction.
Deformation_stage,TEXT,POST_DEFORMATION_MICROSTRUCTURE,POST_TEST_LEAKAGE,PERMANENTLY_BLOCK_FROM_PRIMARY_PREDICTORS,NOT_ELIGIBLE_LEAKAGE,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,NO,DIRECT_SOURCE_FIELD,NO,NO,YES,YES,The field is observed only after tensile deformation starts or after fracture.,NOT_MODEL_APPLICABLE; experimental nonmissing 21/51,Permanently excluded from primary pre-deformation TRIP/TWIP predictor matrices.,PERMANENTLY_BLOCK_FROM_PRIMARY_PREDICTORS,Primary V1 family: POST_DEFORMATION_MICROSTRUCTURE; classification is frozen for pre-deformation prediction.
Grain_size_um,CONTINUOUS_NUMERIC,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,YES,NO,YES,NO,Direct source-supported information available before loading.,MODERATE; experimental nonmissing 34/51 (66.67%),"Must be explicitly pre-test; preserve method, phase, and initial-versus-deformed scope.",RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Grain_size_SD_um,CONTINUOUS_NUMERIC,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,CONDITIONAL_CANDIDATE_PREDICTOR,CONDITIONAL_SCOPE_CONTROL_REQUIRED,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,CONDITIONAL_ON_SCOPE,DIRECT_SOURCE_FIELD,YES,NO,YES,CONDITIONAL,"Safe only after method, scope, timing, or availability control.",SEVERE; experimental nonmissing 9/51 (17.65%),"Must be explicitly pre-test; preserve method, phase, and initial-versus-deformed scope.",RETAIN_CONDITIONALLY; REQUIRE_SCOPE_GATE,Candidate status does not authorize pooling heterogeneous methods or filling missing values.
Initial_FCC_fraction,CONTINUOUS_NUMERIC,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,YES,YES,YES,NO,Direct source-supported information available before loading.,MODERATE; experimental nonmissing 27/51 (52.94%),"Must be explicitly pre-test; preserve method, phase, and initial-versus-deformed scope.",RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
Initial_HCP_fraction,CONTINUOUS_NUMERIC,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,CANDIDATE_PREDICTOR,ELIGIBLE_SOURCE_FIELD,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,YES,DIRECT_SOURCE_FIELD,YES,YES,YES,NO,Direct source-supported information available before loading.,MODERATE; experimental nonmissing 31/51 (60.78%),Pre-existing/thermal/processing HCP only; never establish tensile TRIP.,RETAIN_AS_UNTRANSFORMED_CANDIDATE,"No transformation, normalization, encoding, or imputation is performed in Feature Schema V1."
