Target,Evidence_Pool,Design_ID,Strategy,Fold,Assignment,Paper_ID,ML_Condition_ID,Group_ID,Study_Series_ID,Material_Parent_ID,Alloy_Family_Audit_Key,Target_Value,M2_Complete
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,2,TEST,P021,P021_MC_A1000_20M_RT_G41,P021_SERIES01,P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,FORMULA::FE50MN17.5CR12.5CO10NI5SI5,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TRAIN,P007,P007_MC_A600_1h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TRAIN,P007,P007_MC_A600_2h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TRAIN,P007,P007_MC_A600_10h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,0,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TRAIN,P007,P007_MC_A600_72h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TRAIN,P008,P008_MC_N2p6_PC,P008_SERIES01,P008_SERIES01,P008_MAT_N2p6,MATERIAL::P008_MAT_N2p6,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TRAIN,P011,P011_MC_A10_298K,P011_SERIES01,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,FORMULA::FE50MN30CO10CR10,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TRAIN,P011,P011_MC_A10_77K,P011_SERIES01,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,FORMULA::FE50MN30CO10CR10,0,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TRAIN,P012,P012_MC_BASE_RT,P012_SERIES01,P012_SERIES01,P012_MAT_BASE,FORMULA::FE40MN40CO10CR10,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TRAIN,P012,P012_MC_MO_RT,P012_SERIES01,P012_SERIES01,P012_MAT_MO,FORMULA::FE38.3MN40CO10CR10MO1.7,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TRAIN,P012,P012_MC_C_RT,P012_SERIES01,P012_SERIES01,P012_MAT_C,FORMULA::FE39.5MN40CO10CR10C0.5,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TRAIN,P012,P012_MC_C_77K,P012_SERIES01,P012_SERIES01,P012_MAT_C,FORMULA::FE39.5MN40CO10CR10C0.5,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TRAIN,P021,P021_MC_A1000_20M_RT_G41,P021_SERIES01,P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,FORMULA::FE50MN17.5CR12.5CO10NI5SI5,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TEST,P001,P001_MC01,PAPER::P001,,,FORMULA::FE30NI20CO20CR20SI10,0,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TEST,P001,P001_MC02,PAPER::P001,,,FORMULA::FE30NI20CO20CR20SI10,0,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TEST,P001,P001_MC03,PAPER::P001,,,FORMULA::FE30NI20CO20CR20SI10,0,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TEST,P003,P003_MC01,PAPER::P003,,,FORMULA::FE50MN30CO10CR10,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TEST,P003,P003_MC04,PAPER::P003,,,FORMULA::FE50MN30CO10CR10,1,True
T2_ANY_TWIP,ALL_VERIFIED_USABLE,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,GROUP_KFOLD,3,TEST,P003,P003_MC07,PAPER::P003,,,FORMULA::FE50MN30CO10CR10,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TRAIN,P001,P001_MC01,PAPER::P001,,,FORMULA::FE30NI20CO20CR20SI10,0,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TRAIN,P001,P001_MC02,PAPER::P001,,,FORMULA::FE30NI20CO20CR20SI10,0,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TRAIN,P001,P001_MC03,PAPER::P001,,,FORMULA::FE30NI20CO20CR20SI10,0,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TRAIN,P003,P003_MC01,PAPER::P003,,,FORMULA::FE50MN30CO10CR10,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TRAIN,P003,P003_MC04,PAPER::P003,,,FORMULA::FE50MN30CO10CR10,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TRAIN,P003,P003_MC07,PAPER::P003,,,FORMULA::FE50MN30CO10CR10,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TRAIN,P007,P007_MC_A600_1h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TRAIN,P007,P007_MC_A600_2h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TRAIN,P007,P007_MC_A600_10h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,0,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TRAIN,P007,P007_MC_A600_72h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TRAIN,P008,P008_MC_N2p6_PC,P008_SERIES01,P008_SERIES01,P008_MAT_N2p6,MATERIAL::P008_MAT_N2p6,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TEST,P011,P011_MC_A10_298K,P011_SERIES01,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,FORMULA::FE50MN30CO10CR10,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TEST,P011,P011_MC_A10_77K,P011_SERIES01,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,FORMULA::FE50MN30CO10CR10,0,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TEST,P012,P012_MC_BASE_RT,P012_SERIES01,P012_SERIES01,P012_MAT_BASE,FORMULA::FE40MN40CO10CR10,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TEST,P012,P012_MC_MO_RT,P012_SERIES01,P012_SERIES01,P012_MAT_MO,FORMULA::FE38.3MN40CO10CR10MO1.7,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TEST,P012,P012_MC_C_RT,P012_SERIES01,P012_SERIES01,P012_MAT_C,FORMULA::FE39.5MN40CO10CR10C0.5,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,1,TEST,P012,P012_MC_C_77K,P012_SERIES01,P012_SERIES01,P012_MAT_C,FORMULA::FE39.5MN40CO10CR10C0.5,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TRAIN,P001,P001_MC01,PAPER::P001,,,FORMULA::FE30NI20CO20CR20SI10,0,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TRAIN,P001,P001_MC02,PAPER::P001,,,FORMULA::FE30NI20CO20CR20SI10,0,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TRAIN,P001,P001_MC03,PAPER::P001,,,FORMULA::FE30NI20CO20CR20SI10,0,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TRAIN,P003,P003_MC01,PAPER::P003,,,FORMULA::FE50MN30CO10CR10,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TRAIN,P003,P003_MC04,PAPER::P003,,,FORMULA::FE50MN30CO10CR10,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TRAIN,P003,P003_MC07,PAPER::P003,,,FORMULA::FE50MN30CO10CR10,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TRAIN,P011,P011_MC_A10_298K,P011_SERIES01,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,FORMULA::FE50MN30CO10CR10,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TRAIN,P011,P011_MC_A10_77K,P011_SERIES01,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,FORMULA::FE50MN30CO10CR10,0,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TRAIN,P012,P012_MC_BASE_RT,P012_SERIES01,P012_SERIES01,P012_MAT_BASE,FORMULA::FE40MN40CO10CR10,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TRAIN,P012,P012_MC_MO_RT,P012_SERIES01,P012_SERIES01,P012_MAT_MO,FORMULA::FE38.3MN40CO10CR10MO1.7,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TRAIN,P012,P012_MC_C_RT,P012_SERIES01,P012_SERIES01,P012_MAT_C,FORMULA::FE39.5MN40CO10CR10C0.5,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TRAIN,P012,P012_MC_C_77K,P012_SERIES01,P012_SERIES01,P012_MAT_C,FORMULA::FE39.5MN40CO10CR10C0.5,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TEST,P007,P007_MC_A600_1h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TEST,P007,P007_MC_A600_2h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TEST,P007,P007_MC_A600_10h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,0,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TEST,P007,P007_MC_A600_72h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,1,True
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,GROUP_KFOLD,2,TEST,P008,P008_MC_N2p6_PC,P008_SERIES01,P008_SERIES01,P008_MAT_N2p6,MATERIAL::P008_MAT_N2p6,1,True
