Feature_Name,Leakage_Category,Leakage_Risk,Predictor_Eligibility,Rationale
Strain_rate_s-1,TEST_CONDITION_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Gauge_length_mm,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Gauge_width_mm,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Specimen_thickness_mm,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
True_strain,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Local_strain,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Deformation_stage,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Grain_size_um,PRE_TEST_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Grain_size_SD_um,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Initial_FCC_fraction,PRE_TEST_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Initial_HCP_fraction,PRE_TEST_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Initial_twin_boundary_status,PRE_TEST_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
SFE_mJ_m2,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
SFE_error_mJ_m2,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
SFE_method,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
DeltaG_FCC_HCP_J_mol,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
DeltaG_method,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Elastic_modulus_GPa,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Shear_modulus_GPa,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Poisson_ratio,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Lattice_parameter_nm,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Atomic_size_misfit_pct,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
CSRO_present,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
TRIP,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
TWIP,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Slip,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Stacking_faulting,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
HCP_to_FCC_reversion,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Dominant_mechanism,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
HCP_fraction_at_condition,POST_TEST_MECHANISM_EVIDENCE,HIGH,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Twin_fraction_or_Sigma3,POST_TEST_MECHANISM_EVIDENCE,HIGH,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Twin_thickness_nm,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
HCP_lath_or_lamella_note,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
YS_MPa,POST_TEST_MECHANICAL_OUTCOME,HIGH,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
YS_error_MPa,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
UTS_MPa,POST_TEST_MECHANICAL_OUTCOME,HIGH,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
UTS_error_MPa,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Elongation_pct,POST_TEST_MECHANICAL_OUTCOME,HIGH,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Elongation_error_pct,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Uniform_elongation_pct,POST_TEST_MECHANICAL_OUTCOME,HIGH,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Critical_twin_stress_MPa,MODEL_DERIVED_FROM_LOADING,HIGH,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Critical_TRIP_stress_MPa,MODEL_DERIVED_FROM_LOADING,HIGH,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Twin_onset_true_strain,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
TRIP_onset_true_strain,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Adiabatic_temperature_K,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
SFE_increase_dynamic_mJ_m2,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Evidence_TRIP,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Evidence_TWIP,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Characterization_methods,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Image_usable_for_descriptors,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Source_location,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Label_confidence,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Notes,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Unmapped_Fields,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Source_File,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Source_Sheet,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Schema_Mapping_Review,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
QC_Status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Requires_Manual_Review,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Row_Role,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Target_Review_Status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Schema_Review_Status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Parent_Experiment_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
ML_Condition_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Observation_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Data_Origin,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Observation_Role,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Deformation_Stage_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Grouping_Review_Required,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Grouping_Confidence,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Grouping_Reason,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Grain_size_um,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_ISFE_DFT_0K_mJ_m2,COMPUTATIONAL_ONLY,DOMAIN,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_DeltaG_FCC_HCP_300K_J_mol,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_YS_MPa,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_UTS_MPa,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Elongation_pct,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Uniform_elongation_pct,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Initial_FCC_fraction,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Initial_HCP_fraction,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_TRIP,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_TWIP,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Recrystallized_fraction,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_SFE_assumed_for_calculation_mJ_m2,REFERENCE_CONSTANT,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovery_Provenance_JSON,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Target_Correction_TRIP,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Target_Correction_TWIP,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Resolution_Provenance_JSON,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Effective_TRIP,POST_TEST_MECHANISM_EVIDENCE,HIGH,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Effective_TWIP,POST_TEST_MECHANISM_EVIDENCE,HIGH,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Study_Series_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Material_Parent_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Physical_Batch_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Replicate_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Leakage_Group_Strict,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Leakage_Group_Material,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Parent_Linkage_Status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Aggregate_Property_Status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Parent_ML_Condition_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
YS_mean,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
YS_uncertainty,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
UTS_mean,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
UTS_uncertainty,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
TE_mean,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
TE_uncertainty,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
UE_mean,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
UE_uncertainty,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Replicate_n,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
uncertainty_type,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
P008_Record_Role,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
P008_Legacy_Mapping_Status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
P008_Source_State,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Bulk_Composition_at_pct,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Composition_Status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Processing_route,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Test_T_Reported,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Test_T_Status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Grain_size_scope,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Grain_size_status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Initial_HCP_status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Initial_BCC_alpha_martensite_fraction,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Initial_BCC_alpha_martensite_status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Recrystallized_fraction_status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_YS_status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_UTS_status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovered_Uniform_elongation_status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
SFE_scope,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
SFE_value_alloy_level_mJ_m2,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
SFE_status,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
SFE_source_provenance,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Alpha_lath_thickness,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Alpha_lath_spacing,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovery_twin_fraction,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovery_twin_thickness,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovery_twin_spacing_observed,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Recovery_twin_spacing_fraction_input_nm,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Deformation_twin_width,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Deformation_twin_spacing,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Precipitate_type,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
APT_local_composition,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
EDS_local_composition,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
