Paper_ID,ML_Condition_ID,Study_Series_ID,Material_Parent_ID,Physical_Batch_ID,Leakage_Group_Strict,Leakage_Group_Material,Effective_Study_Group,Effective_Material_Group,Effective_Batch_Group,Effective_Strict_Group,Effective_Leakage_Material_Group,Strict_Group_Source,Alloy_Family_ID,Safest_Grouping_Level,Safest_Group_ID,Fallback_Reason,Notes
P003,P003_MC05,,,,,,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,MATERIAL_FALLBACK::PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P003,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P003,P003_MC06,,,,,,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,MATERIAL_FALLBACK::PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P003,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P003,P003_MC07,,,,,,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,MATERIAL_FALLBACK::PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P003,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P007,P007_MC_A600_1h,P007_SERIES01,P007_MAT01,,P007_SERIES01,P007_MAT01,P007_SERIES01,P007_MAT01,MATERIAL_FALLBACK::P007_MAT01,P007_SERIES01,P007_MAT01,Leakage_Group_Strict,MATERIAL_PARENT::P007_MAT01,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P007_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P007,P007_MC_A600_2h,P007_SERIES01,P007_MAT01,,P007_SERIES01,P007_MAT01,P007_SERIES01,P007_MAT01,MATERIAL_FALLBACK::P007_MAT01,P007_SERIES01,P007_MAT01,Leakage_Group_Strict,MATERIAL_PARENT::P007_MAT01,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P007_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P007,P007_MC_A600_5h,P007_SERIES01,P007_MAT01,,P007_SERIES01,P007_MAT01,P007_SERIES01,P007_MAT01,MATERIAL_FALLBACK::P007_MAT01,P007_SERIES01,P007_MAT01,Leakage_Group_Strict,MATERIAL_PARENT::P007_MAT01,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P007_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P007,P007_MC_A600_10h,P007_SERIES01,P007_MAT01,,P007_SERIES01,P007_MAT01,P007_SERIES01,P007_MAT01,MATERIAL_FALLBACK::P007_MAT01,P007_SERIES01,P007_MAT01,Leakage_Group_Strict,MATERIAL_PARENT::P007_MAT01,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P007_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P007,P007_MC_A600_72h,P007_SERIES01,P007_MAT01,,P007_SERIES01,P007_MAT01,P007_SERIES01,P007_MAT01,MATERIAL_FALLBACK::P007_MAT01,P007_SERIES01,P007_MAT01,Leakage_Group_Strict,MATERIAL_PARENT::P007_MAT01,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P007_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P008,P008_MC_N2p6_PC,P008_SERIES01,P008_MAT_N2p6,,P008_SERIES01,P008_MAT_N2p6,P008_SERIES01,P008_MAT_N2p6,MATERIAL_FALLBACK::P008_MAT_N2p6,P008_SERIES01,P008_MAT_N2p6,Leakage_Group_Strict,MATERIAL_PARENT::P008_MAT_N2p6,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P008_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P016,P016_MC_400C_3min,,,,,,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,MATERIAL_FALLBACK::PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Fe49.5Mn30Co10Cr10C0.5,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P016,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P016,P016_MC_400C_10min,,,,,,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,MATERIAL_FALLBACK::PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Fe49.5Mn30Co10Cr10C0.5,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P016,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P016,P016_MC_650C_3min,,,,,,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,MATERIAL_FALLBACK::PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,Paper_ID_FALLBACK,PAPER_FALLBACK::P016,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P016,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P016,P016_MC_650C_10min,,,,,,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,MATERIAL_FALLBACK::PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,Paper_ID_FALLBACK,PAPER_FALLBACK::P016,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P016,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P016,P016_MC_750C_3min,,,,,,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,MATERIAL_FALLBACK::PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,Paper_ID_FALLBACK,PAPER_FALLBACK::P016,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P016,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P016,P016_MC_750C_10min,,,,,,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,MATERIAL_FALLBACK::PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,Paper_ID_FALLBACK,PAPER_FALLBACK::P016,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P016,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P008,P008_MC_N0_HOMO,P008_SERIES01,P008_MAT_N0,,P008_SERIES01,P008_MAT_N0,P008_SERIES01,P008_MAT_N0,MATERIAL_FALLBACK::P008_MAT_N0,P008_SERIES01,P008_MAT_N0,Leakage_Group_Strict,MATERIAL_PARENT::P008_MAT_N0,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P008_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P008,P008_MC_N0_PC,P008_SERIES01,P008_MAT_N0,,P008_SERIES01,P008_MAT_N0,P008_SERIES01,P008_MAT_N0,MATERIAL_FALLBACK::P008_MAT_N0,P008_SERIES01,P008_MAT_N0,Leakage_Group_Strict,MATERIAL_PARENT::P008_MAT_N0,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P008_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P008,P008_MC_N0_FC,P008_SERIES01,P008_MAT_N0,,P008_SERIES01,P008_MAT_N0,P008_SERIES01,P008_MAT_N0,MATERIAL_FALLBACK::P008_MAT_N0,P008_SERIES01,P008_MAT_N0,Leakage_Group_Strict,MATERIAL_PARENT::P008_MAT_N0,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P008_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P008,P008_MC_N2p6_HOMO,P008_SERIES01,P008_MAT_N2p6,,P008_SERIES01,P008_MAT_N2p6,P008_SERIES01,P008_MAT_N2p6,MATERIAL_FALLBACK::P008_MAT_N2p6,P008_SERIES01,P008_MAT_N2p6,Leakage_Group_Strict,MATERIAL_PARENT::P008_MAT_N2p6,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P008_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P008,P008_MC_N2p6_FC,P008_SERIES01,P008_MAT_N2p6,,P008_SERIES01,P008_MAT_N2p6,P008_SERIES01,P008_MAT_N2p6,MATERIAL_FALLBACK::P008_MAT_N2p6,P008_SERIES01,P008_MAT_N2p6,Leakage_Group_Strict,MATERIAL_PARENT::P008_MAT_N2p6,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P008_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P010,P010_MC_AlloyI,P010_SERIES01,P010_MAT_AlloyI,,P010_SERIES01,P010_MAT_AlloyI,P010_SERIES01,P010_MAT_AlloyI,MATERIAL_FALLBACK::P010_MAT_AlloyI,P010_SERIES01,P010_MAT_AlloyI,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Cr19.93±0.12 Mn23.81±0.22 Fe30.39±0.15 Co19.87±0.14 Ni5.99±0.03,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P010_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P010,P010_MC_AlloyII,P010_SERIES01,P010_MAT_AlloyII,,P010_SERIES01,P010_MAT_AlloyII,P010_SERIES01,P010_MAT_AlloyII,MATERIAL_FALLBACK::P010_MAT_AlloyII,P010_SERIES01,P010_MAT_AlloyII,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Cr19.91±0.11 Mn29.66±0.21 Fe24.51±0.13 Co19.94±0.12 Ni5.97±0.04,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P010_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P010,P010_MC_AlloyIII,P010_SERIES01,P010_MAT_AlloyIII,,P010_SERIES01,P010_MAT_AlloyIII,P010_SERIES01,P010_MAT_AlloyIII,MATERIAL_FALLBACK::P010_MAT_AlloyIII,P010_SERIES01,P010_MAT_AlloyIII,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Cr20.33±0.12 Mn15.35±0.21 Fe32.36±0.11 Co20.61±0.12 Ni11.35±0.03,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P010_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P011,P011_MC_A9_298K,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,MATERIAL_FALLBACK::P011_MAT_FE50MN30CO10CR10,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P011_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P011,P011_MC_A10_298K,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,MATERIAL_FALLBACK::P011_MAT_FE50MN30CO10CR10,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P011_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P011,P011_MC_A11_298K,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,MATERIAL_FALLBACK::P011_MAT_FE50MN30CO10CR10,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P011_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P011,P011_MC_A10_77K,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,MATERIAL_FALLBACK::P011_MAT_FE50MN30CO10CR10,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P011_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P012,P012_MC_BASE_RT,P012_SERIES01,P012_MAT_BASE,,P012_SERIES01,P012_MAT_BASE,P012_SERIES01,P012_MAT_BASE,MATERIAL_FALLBACK::P012_MAT_BASE,P012_SERIES01,P012_MAT_BASE,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Fe39.9Mn40.3Co10.0Cr9.8,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P012_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P012,P012_MC_MO_RT,P012_SERIES01,P012_MAT_MO,,P012_SERIES01,P012_MAT_MO,P012_SERIES01,P012_MAT_MO,MATERIAL_FALLBACK::P012_MAT_MO,P012_SERIES01,P012_MAT_MO,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Fe38.3Mn40.5Co9.7Cr9.8Mo1.7,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P012_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P012,P012_MC_C_RT,P012_SERIES01,P012_MAT_C,,P012_SERIES01,P012_MAT_C,P012_SERIES01,P012_MAT_C,MATERIAL_FALLBACK::P012_MAT_C,P012_SERIES01,P012_MAT_C,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Fe39.13Mn41.23Co9.98Cr9.06C0.6,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P012_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P012,P012_MC_BASE_77K,P012_SERIES01,P012_MAT_BASE,,P012_SERIES01,P012_MAT_BASE,P012_SERIES01,P012_MAT_BASE,MATERIAL_FALLBACK::P012_MAT_BASE,P012_SERIES01,P012_MAT_BASE,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Fe39.9Mn40.3Co10.0Cr9.8,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P012_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P012,P012_MC_MO_77K,P012_SERIES01,P012_MAT_MO,,P012_SERIES01,P012_MAT_MO,P012_SERIES01,P012_MAT_MO,MATERIAL_FALLBACK::P012_MAT_MO,P012_SERIES01,P012_MAT_MO,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Fe38.3Mn40.5Co9.7Cr9.8Mo1.7,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P012_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P012,P012_MC_C_77K,P012_SERIES01,P012_MAT_C,,P012_SERIES01,P012_MAT_C,P012_SERIES01,P012_MAT_C,MATERIAL_FALLBACK::P012_MAT_C,P012_SERIES01,P012_MAT_C,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Fe39.13Mn41.23Co9.98Cr9.06C0.6,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P012_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P013,P013_MC_ASCAST_RT,P013_SERIES01,P013_MAT_ASCAST,,P013_SERIES01,P013_MAT_ASCAST,P013_SERIES01,P013_MAT_ASCAST,MATERIAL_FALLBACK::P013_MAT_ASCAST,P013_SERIES01,P013_MAT_ASCAST,Leakage_Group_Strict,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,P013_SERIES01,EXPLICIT_STRICT_GROUP_AVAILABLE,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
