Target,Concentration_Level,Group_ID,Positive_Conditions,Total_Positive_Conditions,Positive_Share,Papers,Study_Series,Material_Parents,Alloy_Families,Generalization_Interpretation,Notes
T1_TRIP,PAPER,P015,1,27,0.037,P015,P015_SERIES01,P015_MAT_FE50MN20CR20NI10,SOURCE_COMPOSITION_TEXT::Fe50Mn20Cr20Ni10,G3_UNSEEN_STUDY_OR_PAPER_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,PAPER,P016,3,27,0.1111,P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,G3_UNSEEN_STUDY_OR_PAPER_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,STUDY_SERIES,P007_SERIES01,4,27,0.1481,P007,P007_SERIES01,P007_MAT01,MATERIAL_PARENT::P007_MAT01,G3_UNSEEN_STUDY_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,STUDY_SERIES,P008_SERIES01,2,27,0.0741,P008,P008_SERIES01,P008_MAT_N0,MATERIAL_PARENT::P008_MAT_N0,G3_UNSEEN_STUDY_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,STUDY_SERIES,P010_SERIES01,2,27,0.0741,P010,P010_SERIES01,P010_MAT_AlloyI|P010_MAT_AlloyIII,SOURCE_COMPOSITION_TEXT::Cr19.93±0.12 Mn23.81±0.22 Fe30.39±0.15 Co19.87±0.14 Ni5.99±0.03|SOURCE_COMPOSITION_TEXT::Cr20.33±0.12 Mn15.35±0.21 Fe32.36±0.11 Co20.61±0.12 Ni11.35±0.03,G3_UNSEEN_STUDY_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,STUDY_SERIES,P011_SERIES01,2,27,0.0741,P011,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,G3_UNSEEN_STUDY_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,STUDY_SERIES,P012_SERIES01,3,27,0.1111,P012,P012_SERIES01,P012_MAT_BASE|P012_MAT_C|P012_MAT_MO,SOURCE_COMPOSITION_TEXT::Fe38.3Mn40.5Co9.7Cr9.8Mo1.7|SOURCE_COMPOSITION_TEXT::Fe39.13Mn41.23Co9.98Cr9.06C0.6|SOURCE_COMPOSITION_TEXT::Fe39.9Mn40.3Co10.0Cr9.8,G3_UNSEEN_STUDY_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,STUDY_SERIES,P013_SERIES01,1,27,0.037,P013,P013_SERIES01,P013_MAT_ASCAST,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,G3_UNSEEN_STUDY_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,STUDY_SERIES,P014_SERIES01,1,27,0.037,P014,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,G3_UNSEEN_STUDY_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,STUDY_SERIES,P015_SERIES01,1,27,0.037,P015,P015_SERIES01,P015_MAT_FE50MN20CR20NI10,SOURCE_COMPOSITION_TEXT::Fe50Mn20Cr20Ni10,G3_UNSEEN_STUDY_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,STUDY_SERIES,PAPER_FALLBACK::P001,3,27,0.1111,P001,PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,SOURCE_COMPOSITION_TEXT::Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,G3_UNSEEN_STUDY_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,STUDY_SERIES,PAPER_FALLBACK::P002,2,27,0.0741,P002,PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,SOURCE_COMPOSITION_TEXT::Fe40Mn10Co20Cr20Ni10,G3_UNSEEN_STUDY_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,STUDY_SERIES,PAPER_FALLBACK::P003,3,27,0.1111,P003,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,G3_UNSEEN_STUDY_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,STUDY_SERIES,PAPER_FALLBACK::P016,3,27,0.1111,P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,G3_UNSEEN_STUDY_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,P007_MAT01,4,27,0.1481,P007,P007_SERIES01,P007_MAT01,MATERIAL_PARENT::P007_MAT01,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,P008_MAT_N0,2,27,0.0741,P008,P008_SERIES01,P008_MAT_N0,MATERIAL_PARENT::P008_MAT_N0,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,P010_MAT_AlloyI,1,27,0.037,P010,P010_SERIES01,P010_MAT_AlloyI,SOURCE_COMPOSITION_TEXT::Cr19.93±0.12 Mn23.81±0.22 Fe30.39±0.15 Co19.87±0.14 Ni5.99±0.03,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,P010_MAT_AlloyIII,1,27,0.037,P010,P010_SERIES01,P010_MAT_AlloyIII,SOURCE_COMPOSITION_TEXT::Cr20.33±0.12 Mn15.35±0.21 Fe32.36±0.11 Co20.61±0.12 Ni11.35±0.03,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,P011_MAT_FE50MN30CO10CR10,2,27,0.0741,P011,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,P012_MAT_BASE,1,27,0.037,P012,P012_SERIES01,P012_MAT_BASE,SOURCE_COMPOSITION_TEXT::Fe39.9Mn40.3Co10.0Cr9.8,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,P012_MAT_C,1,27,0.037,P012,P012_SERIES01,P012_MAT_C,SOURCE_COMPOSITION_TEXT::Fe39.13Mn41.23Co9.98Cr9.06C0.6,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,P012_MAT_MO,1,27,0.037,P012,P012_SERIES01,P012_MAT_MO,SOURCE_COMPOSITION_TEXT::Fe38.3Mn40.5Co9.7Cr9.8Mo1.7,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,P013_MAT_ASCAST,1,27,0.037,P013,P013_SERIES01,P013_MAT_ASCAST,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,P014_MAT_FE50MN30CO10CR10,1,27,0.037,P014,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,P015_MAT_FE50MN20CR20NI10,1,27,0.037,P015,P015_SERIES01,P015_MAT_FE50MN20CR20NI10,SOURCE_COMPOSITION_TEXT::Fe50Mn20Cr20Ni10,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,PAPER_FALLBACK::P001,3,27,0.1111,P001,PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,SOURCE_COMPOSITION_TEXT::Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,PAPER_FALLBACK::P002,2,27,0.0741,P002,PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,SOURCE_COMPOSITION_TEXT::Fe40Mn10Co20Cr20Ni10,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,PAPER_FALLBACK::P003,3,27,0.1111,P003,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,MATERIAL_PARENT,PAPER_FALLBACK::P016,3,27,0.1111,P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,G2_UNSEEN_MATERIAL_ONLY_IF_STRICT_STUDY_BOUNDARY_IS_ALSO_PRESERVED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,ALLOY_FAMILY,MATERIAL_PARENT::P007_MAT01,4,27,0.1481,P007,P007_SERIES01,P007_MAT01,MATERIAL_PARENT::P007_MAT01,SOURCE_IDENTIFIER_FAMILY_ONLY; CROSS_PAPER_CHEMISTRY_EQUIVALENCE_NOT_RECONCILED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,ALLOY_FAMILY,MATERIAL_PARENT::P008_MAT_N0,2,27,0.0741,P008,P008_SERIES01,P008_MAT_N0,MATERIAL_PARENT::P008_MAT_N0,SOURCE_IDENTIFIER_FAMILY_ONLY; CROSS_PAPER_CHEMISTRY_EQUIVALENCE_NOT_RECONCILED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,ALLOY_FAMILY,PAPER_FALLBACK::P016,3,27,0.1111,P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,PAPER_FALLBACK::P016,SOURCE_IDENTIFIER_FAMILY_ONLY; CROSS_PAPER_CHEMISTRY_EQUIVALENCE_NOT_RECONCILED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,ALLOY_FAMILY,SOURCE_COMPOSITION_TEXT::Cr19.93±0.12 Mn23.81±0.22 Fe30.39±0.15 Co19.87±0.14 Ni5.99±0.03,1,27,0.037,P010,P010_SERIES01,P010_MAT_AlloyI,SOURCE_COMPOSITION_TEXT::Cr19.93±0.12 Mn23.81±0.22 Fe30.39±0.15 Co19.87±0.14 Ni5.99±0.03,SOURCE_IDENTIFIER_FAMILY_ONLY; CROSS_PAPER_CHEMISTRY_EQUIVALENCE_NOT_RECONCILED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,ALLOY_FAMILY,SOURCE_COMPOSITION_TEXT::Cr20.33±0.12 Mn15.35±0.21 Fe32.36±0.11 Co20.61±0.12 Ni11.35±0.03,1,27,0.037,P010,P010_SERIES01,P010_MAT_AlloyIII,SOURCE_COMPOSITION_TEXT::Cr20.33±0.12 Mn15.35±0.21 Fe32.36±0.11 Co20.61±0.12 Ni11.35±0.03,SOURCE_IDENTIFIER_FAMILY_ONLY; CROSS_PAPER_CHEMISTRY_EQUIVALENCE_NOT_RECONCILED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,ALLOY_FAMILY,SOURCE_COMPOSITION_TEXT::Fe38.3Mn40.5Co9.7Cr9.8Mo1.7,1,27,0.037,P012,P012_SERIES01,P012_MAT_MO,SOURCE_COMPOSITION_TEXT::Fe38.3Mn40.5Co9.7Cr9.8Mo1.7,SOURCE_IDENTIFIER_FAMILY_ONLY; CROSS_PAPER_CHEMISTRY_EQUIVALENCE_NOT_RECONCILED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,ALLOY_FAMILY,SOURCE_COMPOSITION_TEXT::Fe39.13Mn41.23Co9.98Cr9.06C0.6,1,27,0.037,P012,P012_SERIES01,P012_MAT_C,SOURCE_COMPOSITION_TEXT::Fe39.13Mn41.23Co9.98Cr9.06C0.6,SOURCE_IDENTIFIER_FAMILY_ONLY; CROSS_PAPER_CHEMISTRY_EQUIVALENCE_NOT_RECONCILED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,ALLOY_FAMILY,SOURCE_COMPOSITION_TEXT::Fe39.9Mn40.3Co10.0Cr9.8,1,27,0.037,P012,P012_SERIES01,P012_MAT_BASE,SOURCE_COMPOSITION_TEXT::Fe39.9Mn40.3Co10.0Cr9.8,SOURCE_IDENTIFIER_FAMILY_ONLY; CROSS_PAPER_CHEMISTRY_EQUIVALENCE_NOT_RECONCILED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,ALLOY_FAMILY,SOURCE_COMPOSITION_TEXT::Fe40Mn10Co20Cr20Ni10,2,27,0.0741,P002,PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,SOURCE_COMPOSITION_TEXT::Fe40Mn10Co20Cr20Ni10,SOURCE_IDENTIFIER_FAMILY_ONLY; CROSS_PAPER_CHEMISTRY_EQUIVALENCE_NOT_RECONCILED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,ALLOY_FAMILY,SOURCE_COMPOSITION_TEXT::Fe50Mn20Cr20Ni10,1,27,0.037,P015,P015_SERIES01,P015_MAT_FE50MN20CR20NI10,SOURCE_COMPOSITION_TEXT::Fe50Mn20Cr20Ni10,SOURCE_IDENTIFIER_FAMILY_ONLY; CROSS_PAPER_CHEMISTRY_EQUIVALENCE_NOT_RECONCILED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,ALLOY_FAMILY,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,7,27,0.2593,P003|P011|P013|P014,P011_SERIES01|P013_SERIES01|P014_SERIES01|PAPER_FALLBACK::P003,P011_MAT_FE50MN30CO10CR10|P013_MAT_ASCAST|P014_MAT_FE50MN30CO10CR10|PAPER_FALLBACK::P003,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,SOURCE_IDENTIFIER_FAMILY_ONLY; CROSS_PAPER_CHEMISTRY_EQUIVALENCE_NOT_RECONCILED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,ALLOY_FAMILY,SOURCE_COMPOSITION_TEXT::Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,3,27,0.1111,P001,PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,SOURCE_COMPOSITION_TEXT::Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,SOURCE_IDENTIFIER_FAMILY_ONLY; CROSS_PAPER_CHEMISTRY_EQUIVALENCE_NOT_RECONCILED,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
