Paper_ID,Record_ID,Parent_ID,Current_Role,Independent_Experimental,Independent_Computational,Possible_Duplicate_Group,Issue_Type,Severity,Recommended_Action,Evidence
P002,OBS013,P002_PE05,LEGACY_COMPUTATIONAL,False,False,P002_MC05,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=CALPHAD; Observation_Role=COMPUTATIONAL_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P003,OBS014,P003_PE01,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P003_MC01,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P003,OBS015,P003_PE02,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P003_MC02,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P003,OBS016,P003_PE03,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P003_MC03,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P003,OBS017,P003_PE04,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P003_MC04,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P003,OBS018,P003_PE05,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P003_MC05,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P003,OBS019,P003_PE06,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P003_MC06,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P003,OBS020,P003_PE07,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P003_MC07,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P004,OBS021,P004_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P004_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P004,OBS022,P004_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P004_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P004,OBS023,P004_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P004_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P004,OBS024,P004_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P004_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P004,OBS025,P004_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P004_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P004,OBS026,P004_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P004_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P005,OBS027,P005_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P005_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P005,OBS028,P005_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P005_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P005,OBS029,P005_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P005_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P006,OBS030,P006_MC_Ni20Fe20,OTHER_REVIEW,False,False,P006_MC_Ni20Fe20,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P006,OBS031,P006_MC_Ni15Fe15,OTHER_REVIEW,False,False,P006_MC_Ni15Fe15,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P006,OBS032,P006_MC_Ni15Fe10,OTHER_REVIEW,False,False,P006_MC_Ni15Fe10,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P007,OBS033,P007_MC_A600_1h,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P007_MC_A600_1h,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P007,OBS034,P007_MC_A600_2h,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P007_MC_A600_2h,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P007,OBS035,P007_MC_A600_5h,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P007_MC_A600_5h,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P007,OBS036,P007_MC_A600_10h,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P007_MC_A600_10h,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P007,OBS037,P007_MC_A600_72h,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P007_MC_A600_72h,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P008,OBS038,P008_PE01,OTHER_REVIEW,False,False,P008_MC01,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P008,OBS039,P008_PE02,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P008_MC_N2p6_PC,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P010,OBS040,P010_PE01,OTHER_REVIEW,False,False,P010_MC01,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P010,OBS041,P010_PE02,OTHER_REVIEW,False,False,P010_MC02,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P010,OBS042,P010_PE03,OTHER_REVIEW,False,False,P010_MC03,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P009,OBS043,P009_PE01,OTHER_REVIEW,False,False,P009_MC01,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P009,OBS044,P009_PE02,OTHER_REVIEW,False,False,P009_MC02,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P009,OBS045,P009_PE03,OTHER_REVIEW,False,False,P009_MC03,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P009,OBS046,P009_PE04,OTHER_REVIEW,False,False,P009_MC04,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P009,OBS047,P009_PE05,OTHER_REVIEW,False,False,P009_MC05,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P009,OBS048,P009_PE06,OTHER_REVIEW,False,False,P009_MC06,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P009,OBS049,P009_PE07,OTHER_REVIEW,False,False,P009_MC07,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P011,OBS050,P011_PE01,LEGACY_COLLAPSED,False,False,P011_MC01,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P011,OBS051,P011_PE02,LEGACY_EXACT_REPLACED,False,False,P011_MC02,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P011,OBS052,P011_PE03,LEGACY_EXACT_REPLACED,False,False,P011_MC03,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P011,OBS053,P011_PE04,LEGACY_EXACT_REPLACED,False,False,P011_MC04,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P011,OBS054,P011_PE05,LEGACY_EXACT_REPLACED,False,False,P011_MC05,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P012,OBS055,P012_PE01,LEGACY_EXACT_REPLACED,False,False,P012_MC01,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P012,OBS056,P012_PE02,LEGACY_EXACT_REPLACED,False,False,P012_MC02,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P012,OBS057,P012_PE03,LEGACY_EXACT_REPLACED,False,False,P012_MC03,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P012,OBS058,P012_PE04,LEGACY_EXACT_REPLACED,False,False,P012_MC04,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P012,OBS059,P012_PE05,LEGACY_EXACT_REPLACED,False,False,P012_MC05,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P012,OBS060,P012_PE06,LEGACY_EXACT_REPLACED,False,False,P012_MC06,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=HYBRID; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P013,OBS061,P013_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P013_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P013,OBS062,P013_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P013_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P013,OBS063,P013_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P013_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P013,OBS064,P013_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P013_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P013,OBS065,P013_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P013_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P014,OBS066,P014_PE01,LEGACY_EXACT_REPLACED,False,False,P014_MC01,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P014,OBS067,P014_PE02,LEGACY_EXACT_REPLACED,False,False,P014_MC02,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P014,OBS068,P014_PE03,LEGACY_EXACT_REPLACED,False,False,P014_MC03,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P014,OBS069,P014_PE04,LEGACY_EXACT_REPLACED,False,False,P014_MC04,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P014,OBS070,P014_PE05,LEGACY_EXACT_REPLACED,False,False,P014_MC05,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P015,OBS071,P015_PE01,LEGACY_EXACT_REPLACED,False,False,P015_MC01,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=HYBRID; Observation_Role=COMPUTATIONAL_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P015,OBS072,P015_PE02,LEGACY_EXACT_REPLACED,False,False,P015_MC02,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=HYBRID; Observation_Role=COMPUTATIONAL_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P016,OBS073,P016_PE_400C_3min,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P016_MC_400C_3min,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P016,OBS074,P016_PE_400C_10min,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P016_MC_400C_10min,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P016,OBS075,P016_LEGACY_COLLAPSED_C03,LEGACY_COLLAPSED,False,False,P016_LEGACY_COLLAPSED_C03,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=EXPERIMENTAL; Observation_Role=LEGACY_COLLAPSED; QC_Duplicate_Status=NO_DOUBLE_COUNT
P017,OBS076,P017_PE01,LEGACY_EXACT_REPLACED,False,False,P017_MC01,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=MD; Observation_Role=COMPUTATIONAL_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P017,OBS077,P017_PE02,LEGACY_EXACT_REPLACED,False,False,P017_MC02,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=MD; Observation_Role=COMPUTATIONAL_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P017,OBS078,P017_PE03,LEGACY_COMPUTATIONAL,False,False,P017_MC03,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=MD; Observation_Role=COMPUTATIONAL_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P017,OBS079,P017_PE04,LEGACY_COMPUTATIONAL,False,False,P017_MC04,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=MD; Observation_Role=COMPUTATIONAL_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P017,OBS080,P017_PE05,LEGACY_EXACT_REPLACED,False,False,P017_MC05,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=MD; Observation_Role=COMPUTATIONAL_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
P017,OBS081,P017_PE06,LEGACY_EXACT_REPLACED,False,False,P017_MC06,LEGACY_EXACT_DUPLICATE_REPRESENTATION,P0_IF_COUNTED,PRESERVE_LEGACY; COUNT_EXACT_ONLY,Data_Origin=MD; Observation_Role=COMPUTATIONAL_CONDITION; QC_Duplicate_Status=LEGACY_REPLACED_EXCLUDED
