Paper_ID,ML_Condition_ID,SFE_mJ_m2,SFE_method,SFE_status,SFE_Data_Origin,SFE_Predictor_Eligibility
P015,P015_MC_77K,10.97,LAMMPS molecular dynamics using Daramola et al. interatomic potential,,COMPUTATIONAL_MD,
P002,P002_MC_A600_RT,14.0,"Thermodynamic estimate using DeltaG, strain energy, FCC/HCP interface energy and planar packing density",CURRENT_PAPER_THERMODYNAMIC_ESTIMATE_NOT_EXPERIMENTAL,THERMODYNAMIC_ESTIMATE_NOT_EXPERIMENTAL,
P002,P002_MC_A700_RT,14.0,"Thermodynamic estimate using DeltaG, strain energy, FCC/HCP interface energy and planar packing density",CURRENT_PAPER_THERMODYNAMIC_ESTIMATE_NOT_EXPERIMENTAL,THERMODYNAMIC_ESTIMATE_NOT_EXPERIMENTAL,
P002,P002_MC_A800_RT,14.0,"Thermodynamic estimate using DeltaG, strain energy, FCC/HCP interface energy and planar packing density",CURRENT_PAPER_THERMODYNAMIC_ESTIMATE_NOT_EXPERIMENTAL,THERMODYNAMIC_ESTIMATE_NOT_EXPERIMENTAL,
P020,P020_MC_TRIPHEA_INSITU,,,,UNRESOLVED_NO_P020_VALUE,
P021,P021_MC_A900_5M_RT_G10,,,,AUTHOR_INFERENCE_OR_QUALITATIVE_DISCUSSION_ONLY,NOT_SAFE_AS_DIRECT_NUMERIC_SFE
P021,P021_MC_A900_25M_RT_G19,,,,AUTHOR_INFERENCE_OR_QUALITATIVE_DISCUSSION_ONLY,NOT_SAFE_AS_DIRECT_NUMERIC_SFE
P021,P021_MC_A1000_20M_RT_G41,,,,AUTHOR_INFERENCE_OR_QUALITATIVE_DISCUSSION_ONLY,NOT_SAFE_AS_DIRECT_NUMERIC_SFE
P021,P021_MC_A1000_150M_RT_G150,,,,AUTHOR_INFERENCE_OR_QUALITATIVE_DISCUSSION_ONLY,NOT_SAFE_AS_DIRECT_NUMERIC_SFE
P021,P021_MC_A1000_20M_77K_G41,,,,AUTHOR_INFERENCE_OR_QUALITATIVE_DISCUSSION_ONLY,NOT_SAFE_AS_DIRECT_NUMERIC_SFE
P022,P022_MC_C0_ASCAST_RT,,,,CURRENT_PAPER_GAP,NOT_SAFE_AS_DIRECT_NUMERIC_SFE
P022,P022_MC_C2_ASCAST_RT,,,,CURRENT_PAPER_GAP,NOT_SAFE_AS_DIRECT_NUMERIC_SFE
P022,P022_MC_C4_ASCAST_RT,,,,CURRENT_PAPER_GAP,NOT_SAFE_AS_DIRECT_NUMERIC_SFE
P022,P022_MC_C2MO1_ASCAST_RT,,,,CURRENT_PAPER_GAP,NOT_SAFE_AS_DIRECT_NUMERIC_SFE
P022,P022_MC_C2MO2_ASCAST_RT,,,,CURRENT_PAPER_GAP,NOT_SAFE_AS_DIRECT_NUMERIC_SFE
P023,P023_MC_DPASS_RT,,,,CURRENT_PAPER_GAP,NO_NUMERIC_CURRENT_ALLOY_VALUE
P023,P023_MC_650_5_RT,,,,CURRENT_PAPER_GAP,NO_NUMERIC_CURRENT_ALLOY_VALUE
P023,P023_MC_650_15_RT,,,,CURRENT_PAPER_GAP,NO_NUMERIC_CURRENT_ALLOY_VALUE
P023,P023_MC_650_30_RT,,,,CURRENT_PAPER_GAP,NO_NUMERIC_CURRENT_ALLOY_VALUE
P023,P023_MC_850_5_RT,,,,CURRENT_PAPER_GAP,NO_NUMERIC_CURRENT_ALLOY_VALUE
P023,P023_MC_850_15_RT,,,,CURRENT_PAPER_GAP,NO_NUMERIC_CURRENT_ALLOY_VALUE
P023,P023_MC_850_30_RT,,,,CURRENT_PAPER_GAP,NO_NUMERIC_CURRENT_ALLOY_VALUE
