Paper_ID,Legacy_Record_ID,Exact_Record_ID,Mapping_Status,Legacy_Row_Preserved,Exact_Row_Present,Independent_Count_Source,Double_Count_Risk,Issue
P013,P013_C02,P013_MC_ASCAST_RT,LEGACY_COLLAPSED; RETAINED; EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P013,P013_C03,P013_MC_ASCAST_RT,LEGACY_COLLAPSED; RETAINED; EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P013,P013_C04,P013_MC_ASCAST_RT,LEGACY_COLLAPSED; RETAINED; EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P013,P013_C05,P013_MC_ASCAST_RT,LEGACY_COLLAPSED; RETAINED; EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P014,P014_C01,P014_MC_ASCAST,EXACT_IDENTITY_MATCH; LEGACY_RETAINED_EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P014,P014_C02,P014_MC_CR,EXACT_IDENTITY_MATCH; LEGACY_RETAINED_EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P014,P014_C03,P014_MC_A600,EXACT_IDENTITY_MATCH; LEGACY_RETAINED_EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P014,P014_C04,P014_MC_A650,EXACT_IDENTITY_MATCH; LEGACY_RETAINED_EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P014,P014_C05,P014_MC_A700,EXACT_IDENTITY_MATCH; LEGACY_RETAINED_EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P015,P015_C01,P015_MC_298K,EXACT_IDENTITY_MATCH; LEGACY_RETAINED_EXCLUDED_FROM_REPLACEMENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P015,P015_C02,P015_MC_77K,EXACT_IDENTITY_MATCH; LEGACY_RETAINED_EXCLUDED_FROM_REPLACEMENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P017,P017_C01,P017_SIM_A05_300K_SR1E8,EXACT_CONDITION_MATCH_LEGACY_RETAINED_EXCLUDED_FROM_DOUBLE_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P017,P017_C02,P017_SIM_A05_300K_SR1E9,EXACT_CONDITION_MATCH_LEGACY_RETAINED_EXCLUDED_FROM_DOUBLE_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P017,P017_C03,nan,LEGACY_COLLAPSED_COMPUTATIONAL,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P017,P017_C04,nan,LEGACY_COLLAPSED_COMPUTATIONAL,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P017,P017_C05,P017_SIM_A15_300K_SR1E8,EXACT_CONDITION_MATCH_LEGACY_RETAINED_EXCLUDED_FROM_DOUBLE_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P017,P017_C06,P017_SIM_A15_300K_SR1E9,EXACT_CONDITION_MATCH_LEGACY_RETAINED_EXCLUDED_FROM_DOUBLE_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P017,P017_C07,nan,LEGACY_COLLAPSED_COMPUTATIONAL,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P017,P017_C08,nan,LEGACY_COLLAPSED_COMPUTATIONAL,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
