Paper_ID,ML_Condition_ID,Nominal_chemistry,Measured_chemistry,Composition_basis,Melting_route,Homogenization,Rolling,Annealing,Quenching,Processing_route,Test_temperature,Strain_rate,Loading_mode,Loading_direction,Initial_FCC,Initial_HCP,Other_initial_phases,Grain_size,Twin_state_origin,Recrystallized_fraction,KAM,GOS,Phase_fraction_method,Experimental_SFE,SFE_method,DeltaG,DeltaG_method,Phase_stability,YS,UTS,Elongation,Uniform_elongation,True_stress_metrics,TRIP,TWIP,Joint_target,Evidence_quality
P003,P003_MC05,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Medium
P003,P003_MC06,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Medium
P003,P003_MC07,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P007,P007_MC_A600_1h,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P007,P007_MC_A600_2h,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P007,P007_MC_A600_5h,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,Medium
P007,P007_MC_A600_10h,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P007,P007_MC_A600_72h,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P008,P008_MC_N2p6_PC,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P016,P016_MC_400C_3min,AVAILABLE,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,Medium
P016,P016_MC_400C_10min,AVAILABLE,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Medium
P016,P016_MC_650C_3min,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,High
P016,P016_MC_650C_10min,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,High
P016,P016_MC_750C_3min,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P016,P016_MC_750C_10min,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,High
P008,P008_MC_N0_HOMO,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,High
P008,P008_MC_N0_PC,MISSING,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P008,P008_MC_N0_FC,MISSING,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,High
P008,P008_MC_N2p6_HOMO,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,High
P008,P008_MC_N2p6_FC,MISSING,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P010,P010_MC_AlloyI,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P010,P010_MC_AlloyII,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P010,P010_MC_AlloyIII,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P011,P011_MC_A9_298K,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,High
P011,P011_MC_A10_298K,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P011,P011_MC_A11_298K,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,High
P011,P011_MC_A10_77K,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P012,P012_MC_BASE_RT,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,High
P012,P012_MC_MO_RT,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,High
P012,P012_MC_C_RT,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,High
P012,P012_MC_BASE_77K,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,High
P012,P012_MC_MO_77K,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,MISSING,High
P012,P012_MC_C_77K,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P013,P013_MC_ASCAST_RT,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P014,P014_MC_ASCAST,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,High
P014,P014_MC_CR,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,High
P014,P014_MC_A600,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P014,P014_MC_A650,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,High
P014,P014_MC_A700,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,High
P015,P015_MC_298K,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,High
P015,P015_MC_77K,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,High
