Paper_ID,ML_Condition_ID,QC_V17_Tier,QC_V17_Review_Status
P016,P016_MC_650C_3min,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P016,P016_MC_650C_10min,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P016,P016_MC_750C_3min,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P016,P016_MC_750C_10min,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P008,P008_MC_N0_HOMO,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P008,P008_MC_N0_PC,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P008,P008_MC_N0_FC,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P008,P008_MC_N2p6_HOMO,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P008,P008_MC_N2p6_FC,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P010,P010_MC_AlloyI,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P010,P010_MC_AlloyII,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P010,P010_MC_AlloyIII,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P011,P011_MC_A9_298K,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P011,P011_MC_A10_298K,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P011,P011_MC_A11_298K,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P011,P011_MC_A10_77K,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P012,P012_MC_BASE_RT,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P012,P012_MC_MO_RT,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P012,P012_MC_C_RT,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P012,P012_MC_BASE_77K,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P012,P012_MC_MO_77K,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P012,P012_MC_C_77K,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P013,P013_MC_ASCAST_RT,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P014,P014_MC_ASCAST,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P014,P014_MC_CR,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P014,P014_MC_A600,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P014,P014_MC_A650,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P014,P014_MC_A700,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P015,P015_MC_298K,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P015,P015_MC_77K,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P002,P002_MC_A600_RT,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P002,P002_MC_A700_RT,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P002,P002_MC_A800_RT,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P020,P020_MC_TRIPHEA_INSITU,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P021,P021_MC_A900_5M_RT_G10,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P021,P021_MC_A900_25M_RT_G19,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P021,P021_MC_A1000_20M_RT_G41,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P021,P021_MC_A1000_150M_RT_G150,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P021,P021_MC_A1000_20M_77K_G41,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P022,P022_MC_C0_ASCAST_RT,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P022,P022_MC_C2_ASCAST_RT,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P022,P022_MC_C4_ASCAST_RT,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P022,P022_MC_C2MO1_ASCAST_RT,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P022,P022_MC_C2MO2_ASCAST_RT,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P023,P023_MC_DPASS_RT,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P023,P023_MC_650_5_RT,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P023,P023_MC_650_15_RT,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
P023,P023_MC_650_30_RT,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P023,P023_MC_850_5_RT,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P023,P023_MC_850_15_RT,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P023,P023_MC_850_30_RT,TIER_B_USABLE_TARGET,PASS_WITH_DOCUMENTED_LIMITATIONS
