Paper_ID,ML_Condition_ID,Nominal_Composition_Available,Measured_Composition_Available,Composition_Basis,Bulk_or_Local,Measured_or_Nominal,Source_Method,Potential_Issue
P010,P010_MC_AlloyI,True,False,at.% measured wet chemistry,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P010,P010_MC_AlloyII,True,False,at.% measured wet chemistry,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P010,P010_MC_AlloyIII,True,False,at.% measured wet chemistry,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P011,P011_MC_A9_298K,True,False,at.% nominal; feedstock EDS retained separately,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,EDS,MEASURED_BULK_UNAVAILABLE
P011,P011_MC_A10_298K,True,False,at.% nominal; feedstock EDS retained separately,BULK_AND_LOCAL_SEPARATE,NOMINAL_OR_ORIGINAL,EDS,LOCAL_CHEMISTRY_PRESENT_KEEP_SEPARATE_FROM_BULK
P011,P011_MC_A11_298K,True,False,at.% nominal; feedstock EDS retained separately,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,EDS,MEASURED_BULK_UNAVAILABLE
P011,P011_MC_A10_77K,True,False,at.% nominal; feedstock EDS retained separately,BULK_AND_LOCAL_SEPARATE,NOMINAL_OR_ORIGINAL,EDS,LOCAL_CHEMISTRY_PRESENT_KEEP_SEPARATE_FROM_BULK
P012,P012_MC_BASE_RT,True,True,at.% measured (nominal retained separately),BULK_OR_NOMINAL,MEASURED_AND_NOMINAL_SEPARATE,Wet chemical analysis,NONE_IDENTIFIED
P012,P012_MC_MO_RT,True,True,at.% measured (nominal retained separately),BULK_OR_NOMINAL,MEASURED_AND_NOMINAL_SEPARATE,Wet chemical analysis,NONE_IDENTIFIED
P012,P012_MC_C_RT,True,True,at.% measured (nominal retained separately),BULK_OR_NOMINAL,MEASURED_AND_NOMINAL_SEPARATE,Wet + Leco combustion analysis,NONE_IDENTIFIED
P012,P012_MC_BASE_77K,True,True,at.% measured (nominal retained separately),BULK_OR_NOMINAL,MEASURED_AND_NOMINAL_SEPARATE,Wet chemical analysis,NONE_IDENTIFIED
P012,P012_MC_MO_77K,True,True,at.% measured (nominal retained separately),BULK_OR_NOMINAL,MEASURED_AND_NOMINAL_SEPARATE,Wet chemical analysis,NONE_IDENTIFIED
P012,P012_MC_C_77K,True,True,at.% measured (nominal retained separately),BULK_OR_NOMINAL,MEASURED_AND_NOMINAL_SEPARATE,Wet + Leco combustion analysis,NONE_IDENTIFIED
P013,P013_MC_ASCAST_RT,True,False,at.% nominal,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P014,P014_MC_ASCAST,True,False,at.% nominal,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P014,P014_MC_CR,True,False,at.% nominal,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P014,P014_MC_A600,True,False,at.% nominal,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P014,P014_MC_A650,True,False,at.% nominal,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P014,P014_MC_A700,True,False,at.% nominal,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P015,P015_MC_298K,True,False,at.% nominal,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P015,P015_MC_77K,True,False,at.% nominal,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
