Paper_ID,Condition_ID,Composition,Temperature,Crystal_Structure,Value,Units,SFE_Type,Method,Experimental_or_Computational,Current_Paper_or_Secondary,Temperature_Specific,Eligibility_Status
P015,P015_MC01,,298.0,FCC_OR_SOURCE_SPECIFIC,36.62,mJ/m^2,REPORTED_SFE,Molecular dynamics at test temperature,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P015,P015_MC02,,77.0,FCC_OR_SOURCE_SPECIFIC,10.97,mJ/m^2,REPORTED_SFE,Molecular dynamics at test temperature,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P016,P016_MC_400C_3min,Fe49.5Mn30Co10Cr10C0.5,298.0,FCC_OR_SOURCE_SPECIFIC,18.0,mJ/m^2,ASSUMED_REFERENCE_INPUT,,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P016,P016_MC_400C_10min,Fe49.5Mn30Co10Cr10C0.5,298.0,FCC_OR_SOURCE_SPECIFIC,18.0,mJ/m^2,ASSUMED_REFERENCE_INPUT,,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P008,P008_MC_N0_HOMO,,Room temperature,FCC_OR_SOURCE_SPECIFIC,6.5,mJ/m^2,ALLOY_LEVEL_SFE,Su et al. 2019 cited by P008; p. 13,SECONDARY_REFERENCE,SECONDARY_REFERENCE,False,NOT_EXPERIMENTAL_SFE
P008,P008_MC_N0_PC,,Room temperature,FCC_OR_SOURCE_SPECIFIC,6.5,mJ/m^2,ALLOY_LEVEL_SFE,Su et al. 2019 cited by P008; p. 13,SECONDARY_REFERENCE,SECONDARY_REFERENCE,False,NOT_EXPERIMENTAL_SFE
P008,P008_MC_N0_FC,,Room temperature,FCC_OR_SOURCE_SPECIFIC,6.5,mJ/m^2,ALLOY_LEVEL_SFE,Su et al. 2019 cited by P008; p. 13,SECONDARY_REFERENCE,SECONDARY_REFERENCE,False,NOT_EXPERIMENTAL_SFE
P008,P008_MC_N2p6_HOMO,,Room temperature,FCC_OR_SOURCE_SPECIFIC,26.0,mJ/m^2,ALLOY_LEVEL_SFE,TEM; p. 13; state not specified,EXPERIMENTAL_DIRECT,CURRENT_PAPER_OR_REPORTED,False,EXPERIMENTAL_COVERAGE_ELIGIBLE
P008,P008_MC_N2p6_FC,,Room temperature,FCC_OR_SOURCE_SPECIFIC,26.0,mJ/m^2,ALLOY_LEVEL_SFE,TEM; p. 13; state not specified,EXPERIMENTAL_DIRECT,CURRENT_PAPER_OR_REPORTED,False,EXPERIMENTAL_COVERAGE_ELIGIBLE
P012,P012_MC_BASE_RT,Fe39.9Mn40.3Co10.0Cr9.8,298.0,FCC_OR_SOURCE_SPECIFIC,27.0,mJ/m^2,REPORTED_SFE,Thermodynamic Olson-Cohen-type calculation; CURRENT_PAPER_CALCULATED,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P012,P012_MC_MO_RT,Fe38.3Mn40.5Co9.7Cr9.8Mo1.7,298.0,FCC_OR_SOURCE_SPECIFIC,24.0,mJ/m^2,REPORTED_SFE,Thermodynamic Olson-Cohen-type calculation; CURRENT_PAPER_CALCULATED,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P012,P012_MC_C_RT,Fe39.13Mn41.23Co9.98Cr9.06C0.6,298.0,FCC_OR_SOURCE_SPECIFIC,28.0,mJ/m^2,REPORTED_SFE,Thermodynamic Olson-Cohen-type calculation; CURRENT_PAPER_CALCULATED,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P012,P012_MC_BASE_77K,Fe39.9Mn40.3Co10.0Cr9.8,77.0,FCC_OR_SOURCE_SPECIFIC,-4.82,mJ/m^2,REPORTED_SFE,Thermodynamic Olson-Cohen-type calculation; CURRENT_PAPER_CALCULATED,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P012,P012_MC_MO_77K,Fe38.3Mn40.5Co9.7Cr9.8Mo1.7,77.0,FCC_OR_SOURCE_SPECIFIC,-6.0,mJ/m^2,REPORTED_SFE,Thermodynamic Olson-Cohen-type calculation; CURRENT_PAPER_CALCULATED,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P012,P012_MC_C_77K,Fe39.13Mn41.23Co9.98Cr9.06C0.6,77.0,FCC_OR_SOURCE_SPECIFIC,-3.95,mJ/m^2,REPORTED_SFE,Thermodynamic Olson-Cohen-type calculation; CURRENT_PAPER_CALCULATED,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P015,P015_MC_298K,Fe50Mn20Cr20Ni10,298.0,FCC_OR_SOURCE_SPECIFIC,36.62,mJ/m^2,REPORTED_SFE,LAMMPS molecular dynamics using Daramola et al. interatomic potential,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P015,P015_MC_77K,Fe50Mn20Cr20Ni10,77.0,FCC_OR_SOURCE_SPECIFIC,10.97,mJ/m^2,REPORTED_SFE,LAMMPS molecular dynamics using Daramola et al. interatomic potential,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P017,P017_MAT_AL0p5,Al0.5CrCoFeCuNi,0,FCC,-14.0,mJ/m^2,Stable_SFE_gamma_sf,0 K EAM GSFE,COMPUTATIONAL_MD,CURRENT_PAPER,True,NOT_EXPERIMENTAL_SFE
P017,P017_MAT_AL1p5,Al1.5CrCoFeCuNi,0,FCC,-27.0,mJ/m^2,Stable_SFE_gamma_sf,0 K EAM GSFE,COMPUTATIONAL_MD,CURRENT_PAPER,True,NOT_EXPERIMENTAL_SFE
P017,P017_MAT_AL0p5,Al0.5CrCoFeCuNi,0,BCC,610.0,mJ/m^2,Unstable_SFE_gamma_usf,0 K EAM GSFE,COMPUTATIONAL_MD,CURRENT_PAPER,True,NOT_EXPERIMENTAL_SFE
P017,P017_MAT_AL1p5,Al1.5CrCoFeCuNi,0,BCC,579.0,mJ/m^2,Unstable_SFE_gamma_usf,0 K EAM GSFE,COMPUTATIONAL_MD,CURRENT_PAPER,True,NOT_EXPERIMENTAL_SFE
